gene,bin,cds_start,cds_end,pathogenic_fraction,splice_driver_fraction,pp3_count,high_spliceai_count,near_boundary_count,total_count
BRCA2,27,2601,2700,0.0400,0.0000,0,0,0,300
BRCA2,33,3201,3300,0.0400,0.0000,0,0,0,300
BRCA2,45,4401,4500,0.0400,0.0000,0,0,0,300
BRCA2,55,5401,5500,0.0400,0.0000,0,0,0,300
BRCA1,17,1601,1700,0.0367,0.0000,0,0,0,300
BRCA2,36,3501,3600,0.0367,0.0000,0,0,0,300
BRCA2,37,3601,3700,0.0367,0.0000,0,0,0,300
BRCA2,54,5301,5400,0.0333,0.0000,0,0,0,300
BRCA1,15,1401,1500,0.0300,0.0000,0,0,0,300
BRCA2,56,5501,5600,0.0300,0.0000,0,0,0,300
BRCA1,19,1801,1900,0.0267,0.0000,0,0,0,300
BRCA1,32,3101,3200,0.0267,0.0000,0,0,0,300
BRCA2,74,7301,7400,0.0267,0.0000,0,0,0,300
BRCA2,100,9901,10000,0.0133,0.0000,0,0,0,300
BRCA2,102,10101,10200,0.0000,0.0000,0,0,0,300
BRCA2,103,10201,10257,0.0000,0.0000,0,0,33,171
