gene,bin,cds_start,cds_end,aa_start,aa_end,total_count,benign_count,vus_count,pathogenic_count,pathogenic_fraction,pathogenic_fraction_no_truncation,pathogenic_fraction_no_splice,pathogenic_fraction_no_functional,residual_pathogenic_fraction,truncation_pathogenic_count,splice_pathogenic_count,functional_pathogenic_count,benign_functional_count,benign_rule_count,high_spliceai_count,pp3_count,pvs1_pm5_count,ps3_ps1_pp4_count,bs3_count,bp_benign_rule_count,pm2_only_or_none_count,near_boundary_count,mixed_position_count,mixed_codon_count,top_structure_feature,truncation_pathogenic_fraction,splice_pathogenic_fraction,functional_pathogenic_fraction,region_category
BRCA2,87,8601,8700,2867,2900,300,9,271,20,0.0667,0.0000,0.0662,0.0678,0.0000,20,1,0,5,65,13,12,20,0,5,65,199,66,25,22,DNA-binding domain / helical-OB-DSS1 region,1.0000,0.0500,0.0000,truncation_driven
BRCA1,34,3301,3400,1101,1134,300,265,16,19,0.0633,0.0000,0.0614,0.0640,0.0000,19,1,0,3,265,7,6,19,0,3,265,10,0,23,20,none,1.0000,0.0526,0.0000,truncation_driven
BRCA1,47,4601,4700,1534,1567,300,241,40,19,0.0633,0.0035,0.0556,0.0627,0.0000,18,3,1,12,240,12,10,18,1,12,240,31,66,25,20,none,0.9474,0.1579,0.0526,truncation_driven
BRCA2,13,1201,1300,401,434,300,280,1,19,0.0633,0.0000,0.0635,0.0633,0.0000,19,0,0,0,280,1,1,19,0,0,280,0,0,16,16,none,1.0000,0.0000,0.0000,truncation_driven
BRCA2,32,3101,3200,1034,1067,300,281,0,19,0.0633,0.0000,0.0633,0.0633,0.0000,19,0,0,0,281,0,0,19,0,0,281,0,0,15,15,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,50,4901,5000,1634,1667,300,281,0,19,0.0633,0.0000,0.0633,0.0635,0.0000,19,0,0,1,281,0,0,19,0,1,281,0,0,15,15,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,85,8401,8500,2801,2834,300,10,271,19,0.0633,0.0071,0.0534,0.0565,0.0000,17,4,3,9,59,19,17,17,8,9,59,195,66,25,21,DNA-binding domain / helical-OB-DSS1 region,0.8947,0.2105,0.1579,truncation_driven
BRCA2,89,8801,8900,2934,2967,300,11,270,19,0.0633,0.0000,0.0638,0.0638,0.0000,19,0,0,2,55,2,2,19,0,2,55,222,0,26,22,DNA-binding domain / helical-OB-DSS1 region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,92,9101,9200,3034,3067,300,12,269,19,0.0633,0.0035,0.0511,0.0625,0.0000,18,7,1,9,45,65,59,18,3,9,45,168,66,24,22,DNA-binding domain / helical-OB-DSS1 region,0.9474,0.3684,0.0526,truncation_driven
BRCA2,93,9201,9300,3067,3100,300,13,268,19,0.0633,0.0071,0.0606,0.0569,0.0000,17,1,3,9,82,3,2,17,10,9,82,188,66,25,22,DNA-binding domain / helical-OB-DSS1 region,0.8947,0.0526,0.1579,truncation_driven
BRCA1,56,5501,5592,1834,1864,276,180,79,17,0.0616,0.0154,0.0616,0.0000,0.0000,13,0,17,132,72,0,0,16,46,132,72,32,33,42,22,BRCT phosphopeptide-binding region,0.7647,0.0000,1.0000,functional_pathogenic_driven
BRCA1,11,1001,1100,334,367,300,282,0,18,0.0600,0.0000,0.0600,0.0602,0.0000,18,0,0,1,282,0,0,18,0,1,282,0,0,17,16,none,1.0000,0.0000,0.0000,truncation_driven
BRCA1,44,4301,4400,1434,1467,300,205,77,18,0.0600,0.0000,0.0373,0.0612,0.0000,18,9,0,6,205,59,50,18,0,6,205,27,66,30,20,none,1.0000,0.5000,0.0000,truncation_driven
BRCA1,46,4501,4600,1501,1534,300,261,21,18,0.0600,0.0000,0.0594,0.0621,0.0000,18,1,0,10,261,14,13,18,0,10,261,8,0,21,16,none,1.0000,0.0556,0.0000,truncation_driven
BRCA1,50,4901,5000,1634,1667,300,239,43,18,0.0600,0.0140,0.0418,0.0000,0.0000,14,6,18,238,136,13,11,14,33,238,136,14,66,31,25,BRCT phosphopeptide-binding region,0.7778,0.3333,1.0000,functional_pathogenic_driven
BRCA2,11,1001,1100,334,367,300,282,0,18,0.0600,0.0000,0.0600,0.0600,0.0000,18,0,0,0,282,0,0,18,0,0,282,0,0,15,15,none,1.0000,0.0000,0.0000,truncation_driven
BRCA2,21,2001,2100,667,700,300,280,2,18,0.0600,0.0000,0.0569,0.0600,0.0000,18,1,0,0,280,1,0,18,0,0,280,2,0,18,16,none,1.0000,0.0556,0.0000,truncation_driven
BRCA2,22,2101,2200,701,734,300,282,0,18,0.0600,0.0000,0.0600,0.0600,0.0000,18,0,0,0,282,0,0,18,0,0,282,0,0,16,17,none,1.0000,0.0000,0.0000,truncation_driven
BRCA2,25,2401,2500,801,834,300,282,0,18,0.0600,0.0000,0.0600,0.0600,0.0000,18,0,0,0,282,0,0,18,0,0,282,0,0,14,15,none,1.0000,0.0000,0.0000,truncation_driven
