gene,site_type,group,group_label,distance_bin,total_variants,spliceai_ge_0_20,percent
BRCA1,donor_like,vus,VUS,0,30,21,70.00
BRCA1,donor_like,vus,VUS,1-2,39,16,41.03
BRCA1,donor_like,vus,VUS,3-5,49,10,20.41
BRCA1,donor_like,vus,VUS,6-10,63,3,4.76
BRCA1,donor_like,vus,VUS,11-20,150,26,17.33
BRCA1,donor_like,vus,VUS,21-50,216,25,11.57
BRCA1,donor_like,vus,VUS,51-100,41,9,21.95
BRCA1,donor_like,vus,VUS,>100,107,36,33.64
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,0,16,16,100.00
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,1-2,18,11,61.11
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,3-5,11,2,18.18
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,6-10,21,4,19.05
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,11-20,38,13,34.21
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,21-50,79,31,39.24
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,51-100,37,2,5.41
BRCA1,donor_like,pathogenic,Likely Pathogenic/Pathogenic,>100,241,4,1.66
BRCA2,acceptor_like,benign,Benign/Likely Benign,0,28,1,3.57
BRCA2,acceptor_like,benign,Benign/Likely Benign,1-2,58,0,0.00
BRCA2,acceptor_like,benign,Benign/Likely Benign,3-5,89,0,0.00
BRCA2,acceptor_like,benign,Benign/Likely Benign,6-10,165,0,0.00
BRCA2,acceptor_like,benign,Benign/Likely Benign,11-20,346,2,0.58
BRCA2,acceptor_like,benign,Benign/Likely Benign,21-50,675,0,0.00
BRCA2,acceptor_like,benign,Benign/Likely Benign,51-100,792,0,0.00
BRCA2,acceptor_like,benign,Benign/Likely Benign,>100,9822,0,0.00
BRCA2,acceptor_like,vus,VUS,0,47,14,29.79
BRCA2,acceptor_like,vus,VUS,1-2,88,15,17.05
BRCA2,acceptor_like,vus,VUS,3-5,120,20,16.67
BRCA2,acceptor_like,vus,VUS,6-10,194,14,7.22
BRCA2,acceptor_like,vus,VUS,11-20,364,37,10.16
BRCA2,acceptor_like,vus,VUS,21-50,1152,121,10.50
BRCA2,acceptor_like,vus,VUS,51-100,1099,114,10.37
BRCA2,acceptor_like,vus,VUS,>100,381,34,8.92
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,0,0,0,0.00
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,1-2,4,2,50.00
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,3-5,16,2,12.50
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,6-10,16,2,12.50
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,11-20,40,9,22.50
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,21-50,120,22,18.33
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,51-100,104,14,13.46
BRCA2,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,>100,495,1,0.20
BRCA2,donor_like,benign,Benign/Likely Benign,0,6,0,0.00
BRCA2,donor_like,benign,Benign/Likely Benign,1-2,49,1,2.04
BRCA2,donor_like,benign,Benign/Likely Benign,3-5,111,0,0.00
BRCA2,donor_like,benign,Benign/Likely Benign,6-10,187,0,0.00
BRCA2,donor_like,benign,Benign/Likely Benign,11-20,366,0,0.00
BRCA2,donor_like,benign,Benign/Likely Benign,21-50,849,0,0.00
BRCA2,donor_like,benign,Benign/Likely Benign,51-100,758,1,0.13
BRCA2,donor_like,benign,Benign/Likely Benign,>100,8377,0,0.00
BRCA2,donor_like,vus,VUS,0,60,51,85.00
BRCA2,donor_like,vus,VUS,1-2,77,31,40.26
BRCA2,donor_like,vus,VUS,3-5,107,10,9.35
BRCA2,donor_like,vus,VUS,6-10,170,3,1.76
BRCA2,donor_like,vus,VUS,11-20,342,15,4.39
BRCA2,donor_like,vus,VUS,21-50,1005,33,3.28
BRCA2,donor_like,vus,VUS,51-100,1026,31,3.02
BRCA2,donor_like,vus,VUS,>100,297,20,6.73
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,0,9,7,77.78
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,1-2,24,6,25.00
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,3-5,7,0,0.00
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,6-10,18,1,5.56
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,11-20,39,3,7.69
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,21-50,93,7,7.53
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,51-100,88,2,2.27
BRCA2,donor_like,pathogenic,Likely Pathogenic/Pathogenic,>100,491,3,0.61
