gene,site_type,group,relative_boundary_position,total_variants,spliceai_ge_0_20,percent
BRCA1,acceptor_like,pathogenic,9,1,0,0.00
BRCA1,acceptor_like,pathogenic,10,1,1,100.00
BRCA1,acceptor_like,pathogenic,11,2,1,50.00
BRCA1,acceptor_like,pathogenic,12,4,3,75.00
BRCA1,acceptor_like,pathogenic,13,10,0,0.00
BRCA1,acceptor_like,pathogenic,14,2,1,50.00
BRCA1,acceptor_like,pathogenic,15,3,0,0.00
BRCA1,acceptor_like,pathogenic,16,3,0,0.00
BRCA1,acceptor_like,pathogenic,17,7,3,42.86
BRCA1,acceptor_like,pathogenic,18,3,0,0.00
BRCA1,acceptor_like,pathogenic,19,4,0,0.00
BRCA1,acceptor_like,pathogenic,20,4,1,25.00
BRCA1,donor_like,benign,-20,47,2,4.26
BRCA1,donor_like,benign,-19,46,3,6.52
BRCA1,donor_like,benign,-18,45,3,6.67
BRCA1,donor_like,benign,-17,45,5,11.11
BRCA1,donor_like,benign,-16,46,4,8.70
BRCA1,donor_like,benign,-15,48,1,2.08
BRCA1,donor_like,benign,-14,42,4,9.52
BRCA1,donor_like,benign,-13,44,2,4.55
BRCA1,donor_like,benign,-12,39,1,2.56
BRCA1,donor_like,benign,-11,37,0,0.00
BRCA1,donor_like,benign,-10,49,3,6.12
BRCA1,donor_like,benign,-9,47,3,6.38
BRCA1,donor_like,benign,-8,37,3,8.11
BRCA1,donor_like,benign,-7,48,4,8.33
BRCA1,donor_like,benign,-6,50,0,0.00
BRCA1,donor_like,benign,-5,43,0,0.00
BRCA1,donor_like,benign,-4,45,0,0.00
BRCA1,donor_like,benign,-3,41,0,0.00
BRCA1,donor_like,benign,-2,34,1,2.94
BRCA1,donor_like,benign,-1,35,3,8.57
BRCA1,donor_like,benign,0,17,3,17.65
BRCA1,donor_like,benign,1,0,0,0.00
BRCA1,donor_like,benign,2,0,0,0.00
BRCA1,donor_like,benign,3,0,0,0.00
BRCA1,donor_like,benign,4,0,0,0.00
BRCA1,donor_like,benign,5,0,0,0.00
BRCA1,donor_like,benign,6,0,0,0.00
BRCA1,donor_like,benign,7,0,0,0.00
BRCA1,donor_like,benign,8,0,0,0.00
BRCA1,donor_like,benign,9,0,0,0.00
BRCA1,donor_like,benign,10,0,0,0.00
BRCA1,donor_like,benign,11,0,0,0.00
BRCA1,donor_like,benign,12,0,0,0.00
BRCA1,donor_like,benign,13,0,0,0.00
BRCA1,donor_like,benign,14,0,0,0.00
BRCA1,donor_like,benign,15,0,0,0.00
BRCA1,donor_like,benign,16,0,0,0.00
BRCA1,donor_like,benign,17,0,0,0.00
BRCA1,donor_like,benign,18,0,0,0.00
BRCA1,donor_like,benign,19,0,0,0.00
BRCA1,donor_like,benign,20,0,0,0.00
BRCA1,donor_like,vus,-20,5,1,20.00
BRCA1,donor_like,vus,-19,11,1,9.09
BRCA1,donor_like,vus,-18,15,2,13.33
BRCA1,donor_like,vus,-17,13,2,15.38
BRCA1,donor_like,vus,-16,12,3,25.00
BRCA1,donor_like,vus,-15,11,3,27.27
BRCA1,donor_like,vus,-14,19,4,21.05
BRCA1,donor_like,vus,-13,18,1,5.56
BRCA1,donor_like,vus,-12,23,2,8.70
BRCA1,donor_like,vus,-11,23,7,30.43
BRCA1,donor_like,vus,-10,9,0,0.00
BRCA1,donor_like,vus,-9,14,1,7.14
BRCA1,donor_like,vus,-8,15,1,6.67
BRCA1,donor_like,vus,-7,15,0,0.00
BRCA1,donor_like,vus,-6,10,1,10.00
BRCA1,donor_like,vus,-5,17,2,11.76
BRCA1,donor_like,vus,-4,13,4,30.77
BRCA1,donor_like,vus,-3,19,4,21.05
BRCA1,donor_like,vus,-2,18,4,22.22
BRCA1,donor_like,vus,-1,21,12,57.14
BRCA1,donor_like,vus,0,30,21,70.00
BRCA1,donor_like,vus,1,0,0,0.00
BRCA1,donor_like,vus,2,0,0,0.00
BRCA1,donor_like,vus,3,0,0,0.00
BRCA1,donor_like,vus,4,0,0,0.00
BRCA1,donor_like,vus,5,0,0,0.00
BRCA1,donor_like,vus,6,0,0,0.00
BRCA1,donor_like,vus,7,0,0,0.00
BRCA1,donor_like,vus,8,0,0,0.00
BRCA1,donor_like,vus,9,0,0,0.00
BRCA1,donor_like,vus,10,0,0,0.00
BRCA1,donor_like,vus,11,0,0,0.00
BRCA1,donor_like,vus,12,0,0,0.00
BRCA1,donor_like,vus,13,0,0,0.00
BRCA1,donor_like,vus,14,0,0,0.00
BRCA1,donor_like,vus,15,0,0,0.00
BRCA1,donor_like,vus,16,0,0,0.00
BRCA1,donor_like,vus,17,0,0,0.00
BRCA1,donor_like,vus,18,0,0,0.00
BRCA1,donor_like,vus,19,0,0,0.00
BRCA1,donor_like,vus,20,0,0,0.00
BRCA1,donor_like,pathogenic,-20,8,5,62.50
BRCA1,donor_like,pathogenic,-19,6,1,16.67
BRCA1,donor_like,pathogenic,-18,3,2,66.67
BRCA1,donor_like,pathogenic,-17,5,0,0.00
BRCA1,donor_like,pathogenic,-16,5,1,20.00
BRCA1,donor_like,pathogenic,-15,4,2,50.00
BRCA1,donor_like,pathogenic,-14,2,0,0.00
BRCA1,donor_like,pathogenic,-13,1,0,0.00
BRCA1,donor_like,pathogenic,-12,1,0,0.00
BRCA1,donor_like,pathogenic,-11,3,2,66.67
BRCA1,donor_like,pathogenic,-10,5,0,0.00
BRCA1,donor_like,pathogenic,-9,2,1,50.00
BRCA1,donor_like,pathogenic,-8,11,2,18.18
BRCA1,donor_like,pathogenic,-7,0,0,0.00
BRCA1,donor_like,pathogenic,-6,3,1,33.33
BRCA1,donor_like,pathogenic,-5,3,1,33.33
BRCA1,donor_like,pathogenic,-4,5,0,0.00
BRCA1,donor_like,pathogenic,-3,3,1,33.33
BRCA1,donor_like,pathogenic,-2,11,6,54.55
BRCA1,donor_like,pathogenic,-1,7,5,71.43
BRCA1,donor_like,pathogenic,0,16,16,100.00
BRCA1,donor_like,pathogenic,1,0,0,0.00
BRCA1,donor_like,pathogenic,2,0,0,0.00
BRCA1,donor_like,pathogenic,3,0,0,0.00
BRCA1,donor_like,pathogenic,4,0,0,0.00
BRCA1,donor_like,pathogenic,5,0,0,0.00
BRCA1,donor_like,pathogenic,6,0,0,0.00
BRCA1,donor_like,pathogenic,7,0,0,0.00
BRCA1,donor_like,pathogenic,8,0,0,0.00
BRCA1,donor_like,pathogenic,9,0,0,0.00
BRCA1,donor_like,pathogenic,10,0,0,0.00
BRCA1,donor_like,pathogenic,11,0,0,0.00
BRCA1,donor_like,pathogenic,12,0,0,0.00
BRCA1,donor_like,pathogenic,13,0,0,0.00
BRCA1,donor_like,pathogenic,14,0,0,0.00
BRCA1,donor_like,pathogenic,15,0,0,0.00
BRCA1,donor_like,pathogenic,16,0,0,0.00
BRCA1,donor_like,pathogenic,17,0,0,0.00
BRCA1,donor_like,pathogenic,18,0,0,0.00
BRCA1,donor_like,pathogenic,19,0,0,0.00
BRCA1,donor_like,pathogenic,20,0,0,0.00
BRCA2,acceptor_like,benign,-20,0,0,0.00
BRCA2,acceptor_like,benign,-19,0,0,0.00
BRCA2,acceptor_like,benign,-18,0,0,0.00
BRCA2,acceptor_like,benign,-17,0,0,0.00
BRCA2,acceptor_like,benign,-16,0,0,0.00
BRCA2,acceptor_like,benign,-15,0,0,0.00
BRCA2,acceptor_like,benign,-14,0,0,0.00
BRCA2,acceptor_like,benign,-13,0,0,0.00
BRCA2,acceptor_like,benign,-12,0,0,0.00
BRCA2,acceptor_like,benign,-11,0,0,0.00
BRCA2,acceptor_like,benign,-10,0,0,0.00
BRCA2,acceptor_like,benign,-9,0,0,0.00
BRCA2,acceptor_like,benign,-8,0,0,0.00
BRCA2,acceptor_like,benign,-7,0,0,0.00
BRCA2,acceptor_like,benign,-6,0,0,0.00
BRCA2,acceptor_like,benign,-5,0,0,0.00
BRCA2,acceptor_like,benign,-4,0,0,0.00
BRCA2,acceptor_like,benign,-3,0,0,0.00
BRCA2,acceptor_like,benign,-2,0,0,0.00
BRCA2,acceptor_like,benign,-1,0,0,0.00
BRCA2,acceptor_like,benign,0,28,1,3.57
BRCA2,acceptor_like,benign,1,30,0,0.00
BRCA2,acceptor_like,benign,2,28,0,0.00
BRCA2,acceptor_like,benign,3,23,0,0.00
BRCA2,acceptor_like,benign,4,34,0,0.00
BRCA2,acceptor_like,benign,5,32,0,0.00
BRCA2,acceptor_like,benign,6,33,0,0.00
BRCA2,acceptor_like,benign,7,33,0,0.00
BRCA2,acceptor_like,benign,8,32,0,0.00
BRCA2,acceptor_like,benign,9,32,0,0.00
BRCA2,acceptor_like,benign,10,35,0,0.00
BRCA2,acceptor_like,benign,11,37,1,2.70
BRCA2,acceptor_like,benign,12,36,1,2.78
BRCA2,acceptor_like,benign,13,33,0,0.00
BRCA2,acceptor_like,benign,14,32,0,0.00
BRCA2,acceptor_like,benign,15,32,0,0.00
BRCA2,acceptor_like,benign,16,34,0,0.00
BRCA2,acceptor_like,benign,17,36,0,0.00
BRCA2,acceptor_like,benign,18,34,0,0.00
BRCA2,acceptor_like,benign,19,34,0,0.00
BRCA2,acceptor_like,benign,20,38,0,0.00
BRCA2,acceptor_like,vus,-20,0,0,0.00
BRCA2,acceptor_like,vus,-19,0,0,0.00
BRCA2,acceptor_like,vus,-18,0,0,0.00
BRCA2,acceptor_like,vus,-17,0,0,0.00
BRCA2,acceptor_like,vus,-16,0,0,0.00
BRCA2,acceptor_like,vus,-15,0,0,0.00
BRCA2,acceptor_like,vus,-14,0,0,0.00
BRCA2,acceptor_like,vus,-13,0,0,0.00
BRCA2,acceptor_like,vus,-12,0,0,0.00
BRCA2,acceptor_like,vus,-11,0,0,0.00
BRCA2,acceptor_like,vus,-10,0,0,0.00
BRCA2,acceptor_like,vus,-9,0,0,0.00
BRCA2,acceptor_like,vus,-8,0,0,0.00
BRCA2,acceptor_like,vus,-7,0,0,0.00
BRCA2,acceptor_like,vus,-6,0,0,0.00
BRCA2,acceptor_like,vus,-5,0,0,0.00
BRCA2,acceptor_like,vus,-4,0,0,0.00
BRCA2,acceptor_like,vus,-3,0,0,0.00
BRCA2,acceptor_like,vus,-2,0,0,0.00
BRCA2,acceptor_like,vus,-1,0,0,0.00
BRCA2,acceptor_like,vus,0,47,14,29.79
BRCA2,acceptor_like,vus,1,44,9,20.45
BRCA2,acceptor_like,vus,2,44,6,13.64
BRCA2,acceptor_like,vus,3,44,13,29.55
BRCA2,acceptor_like,vus,4,39,3,7.69
BRCA2,acceptor_like,vus,5,37,4,10.81
BRCA2,acceptor_like,vus,6,38,3,7.89
BRCA2,acceptor_like,vus,7,40,2,5.00
BRCA2,acceptor_like,vus,8,40,4,10.00
BRCA2,acceptor_like,vus,9,38,2,5.26
BRCA2,acceptor_like,vus,10,38,3,7.89
BRCA2,acceptor_like,vus,11,33,3,9.09
BRCA2,acceptor_like,vus,12,38,4,10.53
BRCA2,acceptor_like,vus,13,41,5,12.20
BRCA2,acceptor_like,vus,14,39,4,10.26
BRCA2,acceptor_like,vus,15,37,5,13.51
BRCA2,acceptor_like,vus,16,35,0,0.00
BRCA2,acceptor_like,vus,17,34,2,5.88
BRCA2,acceptor_like,vus,18,38,6,15.79
BRCA2,acceptor_like,vus,19,35,5,14.29
BRCA2,acceptor_like,vus,20,34,3,8.82
BRCA2,acceptor_like,pathogenic,-20,0,0,0.00
BRCA2,acceptor_like,pathogenic,-19,0,0,0.00
BRCA2,acceptor_like,pathogenic,-18,0,0,0.00
BRCA2,acceptor_like,pathogenic,-17,0,0,0.00
BRCA2,acceptor_like,pathogenic,-16,0,0,0.00
BRCA2,acceptor_like,pathogenic,-15,0,0,0.00
BRCA2,acceptor_like,pathogenic,-14,0,0,0.00
BRCA2,acceptor_like,pathogenic,-13,0,0,0.00
BRCA2,acceptor_like,pathogenic,-12,0,0,0.00
BRCA2,acceptor_like,pathogenic,-11,0,0,0.00
BRCA2,acceptor_like,pathogenic,-10,0,0,0.00
BRCA2,acceptor_like,pathogenic,-9,0,0,0.00
BRCA2,acceptor_like,pathogenic,-8,0,0,0.00
BRCA2,acceptor_like,pathogenic,-7,0,0,0.00
BRCA2,acceptor_like,pathogenic,-6,0,0,0.00
BRCA2,acceptor_like,pathogenic,-5,0,0,0.00
BRCA2,acceptor_like,pathogenic,-4,0,0,0.00
BRCA2,acceptor_like,pathogenic,-3,0,0,0.00
BRCA2,acceptor_like,pathogenic,-2,0,0,0.00
BRCA2,acceptor_like,pathogenic,-1,0,0,0.00
BRCA2,acceptor_like,pathogenic,0,0,0,0.00
BRCA2,acceptor_like,pathogenic,1,1,1,100.00
BRCA2,acceptor_like,pathogenic,2,3,1,33.33
BRCA2,acceptor_like,pathogenic,3,8,1,12.50
BRCA2,acceptor_like,pathogenic,4,2,1,50.00
BRCA2,acceptor_like,pathogenic,5,6,0,0.00
BRCA2,acceptor_like,pathogenic,6,4,1,25.00
BRCA2,acceptor_like,pathogenic,7,2,0,0.00
BRCA2,acceptor_like,pathogenic,8,3,0,0.00
BRCA2,acceptor_like,pathogenic,9,5,1,20.00
BRCA2,acceptor_like,pathogenic,10,2,0,0.00
BRCA2,acceptor_like,pathogenic,11,5,0,0.00
BRCA2,acceptor_like,pathogenic,12,1,1,100.00
BRCA2,acceptor_like,pathogenic,13,1,1,100.00
BRCA2,acceptor_like,pathogenic,14,4,0,0.00
BRCA2,acceptor_like,pathogenic,15,6,2,33.33
BRCA2,acceptor_like,pathogenic,16,6,2,33.33
BRCA2,acceptor_like,pathogenic,17,5,1,20.00
BRCA2,acceptor_like,pathogenic,18,3,2,66.67
BRCA2,acceptor_like,pathogenic,19,6,0,0.00
BRCA2,acceptor_like,pathogenic,20,3,0,0.00
BRCA2,donor_like,benign,-20,35,0,0.00
BRCA2,donor_like,benign,-19,37,0,0.00
BRCA2,donor_like,benign,-18,35,0,0.00
BRCA2,donor_like,benign,-17,36,0,0.00
BRCA2,donor_like,benign,-16,38,0,0.00
BRCA2,donor_like,benign,-15,38,0,0.00
BRCA2,donor_like,benign,-14,38,0,0.00
BRCA2,donor_like,benign,-13,40,0,0.00
BRCA2,donor_like,benign,-12,36,0,0.00
BRCA2,donor_like,benign,-11,33,0,0.00
BRCA2,donor_like,benign,-10,38,0,0.00
BRCA2,donor_like,benign,-9,38,0,0.00
BRCA2,donor_like,benign,-8,33,0,0.00
BRCA2,donor_like,benign,-7,39,0,0.00
BRCA2,donor_like,benign,-6,39,0,0.00
BRCA2,donor_like,benign,-5,36,0,0.00
BRCA2,donor_like,benign,-4,39,0,0.00
BRCA2,donor_like,benign,-3,36,0,0.00
BRCA2,donor_like,benign,-2,25,1,4.00
BRCA2,donor_like,benign,-1,24,0,0.00
BRCA2,donor_like,benign,0,6,0,0.00
BRCA2,donor_like,benign,1,0,0,0.00
BRCA2,donor_like,benign,2,0,0,0.00
BRCA2,donor_like,benign,3,0,0,0.00
BRCA2,donor_like,benign,4,0,0,0.00
BRCA2,donor_like,benign,5,0,0,0.00
BRCA2,donor_like,benign,6,0,0,0.00
BRCA2,donor_like,benign,7,0,0,0.00
BRCA2,donor_like,benign,8,0,0,0.00
BRCA2,donor_like,benign,9,0,0,0.00
BRCA2,donor_like,benign,10,0,0,0.00
BRCA2,donor_like,benign,11,0,0,0.00
BRCA2,donor_like,benign,12,0,0,0.00
BRCA2,donor_like,benign,13,0,0,0.00
BRCA2,donor_like,benign,14,0,0,0.00
BRCA2,donor_like,benign,15,0,0,0.00
BRCA2,donor_like,benign,16,0,0,0.00
BRCA2,donor_like,benign,17,0,0,0.00
BRCA2,donor_like,benign,18,0,0,0.00
BRCA2,donor_like,benign,19,0,0,0.00
BRCA2,donor_like,benign,20,0,0,0.00
BRCA2,donor_like,vus,-20,33,2,6.06
BRCA2,donor_like,vus,-19,37,2,5.41
BRCA2,donor_like,vus,-18,34,0,0.00
BRCA2,donor_like,vus,-17,34,3,8.82
BRCA2,donor_like,vus,-16,35,1,2.86
BRCA2,donor_like,vus,-15,32,0,0.00
BRCA2,donor_like,vus,-14,35,1,2.86
BRCA2,donor_like,vus,-13,33,1,3.03
BRCA2,donor_like,vus,-12,31,2,6.45
BRCA2,donor_like,vus,-11,38,3,7.89
BRCA2,donor_like,vus,-10,35,0,0.00
BRCA2,donor_like,vus,-9,31,0,0.00
BRCA2,donor_like,vus,-8,38,3,7.89
BRCA2,donor_like,vus,-7,35,0,0.00
BRCA2,donor_like,vus,-6,31,0,0.00
BRCA2,donor_like,vus,-5,36,1,2.78
BRCA2,donor_like,vus,-4,33,3,9.09
BRCA2,donor_like,vus,-3,38,6,15.79
BRCA2,donor_like,vus,-2,30,6,20.00
BRCA2,donor_like,vus,-1,47,25,53.19
BRCA2,donor_like,vus,0,60,51,85.00
BRCA2,donor_like,vus,1,0,0,0.00
BRCA2,donor_like,vus,2,0,0,0.00
BRCA2,donor_like,vus,3,0,0,0.00
BRCA2,donor_like,vus,4,0,0,0.00
BRCA2,donor_like,vus,5,0,0,0.00
BRCA2,donor_like,vus,6,0,0,0.00
BRCA2,donor_like,vus,7,0,0,0.00
BRCA2,donor_like,vus,8,0,0,0.00
BRCA2,donor_like,vus,9,0,0,0.00
BRCA2,donor_like,vus,10,0,0,0.00
BRCA2,donor_like,vus,11,0,0,0.00
BRCA2,donor_like,vus,12,0,0,0.00
BRCA2,donor_like,vus,13,0,0,0.00
BRCA2,donor_like,vus,14,0,0,0.00
BRCA2,donor_like,vus,15,0,0,0.00
BRCA2,donor_like,vus,16,0,0,0.00
BRCA2,donor_like,vus,17,0,0,0.00
BRCA2,donor_like,vus,18,0,0,0.00
BRCA2,donor_like,vus,19,0,0,0.00
BRCA2,donor_like,vus,20,0,0,0.00
BRCA2,donor_like,pathogenic,-20,4,0,0.00
BRCA2,donor_like,pathogenic,-19,1,0,0.00
BRCA2,donor_like,pathogenic,-18,6,0,0.00
BRCA2,donor_like,pathogenic,-17,5,1,20.00
BRCA2,donor_like,pathogenic,-16,2,0,0.00
BRCA2,donor_like,pathogenic,-15,5,0,0.00
BRCA2,donor_like,pathogenic,-14,2,0,0.00
BRCA2,donor_like,pathogenic,-13,2,1,50.00
BRCA2,donor_like,pathogenic,-12,8,0,0.00
BRCA2,donor_like,pathogenic,-11,4,1,25.00
BRCA2,donor_like,pathogenic,-10,2,0,0.00
BRCA2,donor_like,pathogenic,-9,6,0,0.00
BRCA2,donor_like,pathogenic,-8,4,1,25.00
BRCA2,donor_like,pathogenic,-7,1,0,0.00
BRCA2,donor_like,pathogenic,-6,5,0,0.00
BRCA2,donor_like,pathogenic,-5,3,0,0.00
BRCA2,donor_like,pathogenic,-4,3,0,0.00
BRCA2,donor_like,pathogenic,-3,1,0,0.00
BRCA2,donor_like,pathogenic,-2,20,2,10.00
BRCA2,donor_like,pathogenic,-1,4,4,100.00
BRCA2,donor_like,pathogenic,0,9,7,77.78
BRCA2,donor_like,pathogenic,1,0,0,0.00
BRCA2,donor_like,pathogenic,2,0,0,0.00
BRCA2,donor_like,pathogenic,3,0,0,0.00
BRCA2,donor_like,pathogenic,4,0,0,0.00
BRCA2,donor_like,pathogenic,5,0,0,0.00
BRCA2,donor_like,pathogenic,6,0,0,0.00
BRCA2,donor_like,pathogenic,7,0,0,0.00
BRCA2,donor_like,pathogenic,8,0,0,0.00
BRCA2,donor_like,pathogenic,9,0,0,0.00
BRCA2,donor_like,pathogenic,10,0,0,0.00
BRCA2,donor_like,pathogenic,11,0,0,0.00
BRCA2,donor_like,pathogenic,12,0,0,0.00
BRCA2,donor_like,pathogenic,13,0,0,0.00
BRCA2,donor_like,pathogenic,14,0,0,0.00
BRCA2,donor_like,pathogenic,15,0,0,0.00
BRCA2,donor_like,pathogenic,16,0,0,0.00
BRCA2,donor_like,pathogenic,17,0,0,0.00
BRCA2,donor_like,pathogenic,18,0,0,0.00
BRCA2,donor_like,pathogenic,19,0,0,0.00
BRCA2,donor_like,pathogenic,20,0,0,0.00
