gene,cds_exon,site_type,near_10bp_total,spliceai_ge_0_20,percent,benign_total,benign_high_spliceai,benign_percent,vus_total,vus_high_spliceai,vus_percent,pathogenic_total,pathogenic_high_spliceai,pathogenic_percent
BRCA2,18,acceptor_like,33,1,3.03,0,0,0.00,33,1,3.03,0,0,0.00
BRCA2,18,donor_like,33,6,18.18,1,0,0.00,27,4,14.81,5,2,40.00
BRCA2,19,acceptor_like,33,1,3.03,0,0,0.00,29,0,0.00,4,1,25.00
BRCA2,19,donor_like,33,5,15.15,0,0,0.00,30,4,13.33,3,1,33.33
BRCA2,20,acceptor_like,33,4,12.12,1,0,0.00,32,4,12.50,0,0,0.00
BRCA2,20,donor_like,33,8,24.24,0,0,0.00,30,8,26.67,3,0,0.00
BRCA2,21,acceptor_like,33,1,3.03,1,0,0.00,30,1,3.33,2,0,0.00
BRCA2,21,donor_like,33,0,0.00,0,0,0.00,30,0,0.00,3,0,0.00
BRCA2,22,acceptor_like,33,3,9.09,1,0,0.00,32,3,9.38,0,0,0.00
BRCA2,22,donor_like,33,5,15.15,1,0,0.00,30,3,10.00,2,2,100.00
BRCA2,23,acceptor_like,33,20,60.61,0,0,0.00,30,18,60.00,3,2,66.67
BRCA2,23,donor_like,33,2,6.06,0,0,0.00,30,1,3.33,3,1,33.33
BRCA2,24,acceptor_like,33,0,0.00,1,0,0.00,32,0,0.00,0,0,0.00
BRCA2,24,donor_like,33,2,6.06,0,0,0.00,32,2,6.25,1,0,0.00
BRCA2,25,acceptor_like,33,2,6.06,1,0,0.00,32,2,6.25,0,0,0.00
BRCA2,25,donor_like,33,0,0.00,30,0,0.00,2,0,0.00,1,0,0.00
BRCA2,26,acceptor_like,33,2,6.06,30,0,0.00,3,2,66.67,0,0,0.00
