gene,bin,relative_start_percent,relative_end_percent,cds_start,cds_end,n_variants,benign_count,benign_percent,vus_count,vus_percent,pathogenic_count,pathogenic_percent,high_spliceai_count,high_spliceai_percent,initiation_codon_percent,missense_percent,nonsense_percent,synonymous_percent
BRCA1,29,23.33,24.17,1305,1351,141,131,92.91,0,0.00,10,7.09,0,0.00,0.00,74.47,7.09,18.44
BRCA1,30,24.17,25.00,1352,1398,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,74.64,4.35,21.01
BRCA1,31,25.00,25.83,1399,1444,141,136,96.45,0,0.00,5,3.55,0,0.00,0.00,75.89,3.55,20.57
BRCA1,32,25.83,26.67,1445,1491,141,136,96.45,0,0.00,5,3.55,0,0.00,0.00,72.34,3.55,24.11
BRCA1,33,26.67,27.50,1492,1537,138,130,94.20,0,0.00,8,5.80,0,0.00,0.00,69.57,5.80,24.64
BRCA1,34,27.50,28.33,1538,1584,141,135,95.74,0,0.00,6,4.26,0,0.00,0.00,75.89,4.26,19.86
BRCA1,35,28.33,29.17,1585,1631,138,131,94.93,0,0.00,7,5.07,0,0.00,0.00,76.81,5.07,18.12
BRCA1,36,29.17,30.00,1632,1677,141,138,97.87,0,0.00,3,2.13,0,0.00,0.00,79.43,2.13,18.44
BRCA1,37,30.00,30.83,1678,1724,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,75.18,4.96,19.86
BRCA1,38,30.83,31.67,1725,1770,138,133,96.38,0,0.00,5,3.62,0,0.00,0.00,77.54,3.62,18.84
BRCA1,39,31.67,32.50,1771,1817,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,76.60,4.96,18.44
BRCA1,40,32.50,33.33,1818,1864,138,135,97.83,0,0.00,3,2.17,0,0.00,0.00,76.81,2.17,21.01
BRCA1,41,33.33,34.17,1865,1910,141,138,97.87,0,0.00,3,2.13,0,0.00,0.00,71.63,2.13,26.24
BRCA1,42,34.17,35.00,1911,1957,141,132,93.62,0,0.00,9,6.38,0,0.00,0.00,79.43,6.38,14.18
BRCA1,43,35.00,35.83,1958,2003,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,76.81,4.35,18.84
BRCA1,44,35.83,36.67,2004,2050,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,76.60,4.96,18.44
BRCA1,45,36.67,37.50,2051,2097,138,133,96.38,0,0.00,5,3.62,0,0.00,0.00,78.26,3.62,18.12
BRCA1,46,37.50,38.33,2098,2143,141,133,94.33,1,0.71,7,4.96,1,0.71,0.00,71.63,4.96,23.40
BRCA1,47,38.33,39.17,2144,2190,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,74.47,4.96,20.57
BRCA1,48,39.17,40.00,2191,2236,138,131,94.93,1,0.72,6,4.35,1,0.72,0.00,75.36,4.35,20.29
BRCA1,49,40.00,40.83,2237,2283,141,131,92.91,1,0.71,9,6.38,1,0.71,0.00,73.05,6.38,20.57
BRCA1,50,40.83,41.67,2284,2330,138,134,97.10,0,0.00,4,2.90,0,0.00,0.00,74.64,2.90,22.46
BRCA1,51,41.67,42.50,2331,2376,141,131,92.91,1,0.71,9,6.38,1,0.71,0.00,68.09,6.38,25.53
BRCA1,52,42.50,43.33,2377,2423,141,135,95.74,0,0.00,6,4.26,0,0.00,0.00,75.89,4.26,19.86
BRCA1,53,43.33,44.17,2424,2469,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,75.36,4.35,20.29
BRCA1,54,44.17,45.00,2470,2516,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,75.89,4.96,19.15
BRCA1,55,45.00,45.83,2517,2563,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,78.26,4.35,17.39
BRCA1,56,45.83,46.67,2564,2609,141,130,92.20,0,0.00,11,7.80,0,0.00,0.00,71.63,7.80,20.57
BRCA1,57,46.67,47.50,2610,2656,141,133,94.33,1,0.71,7,4.96,0,0.00,0.00,74.47,4.96,20.57
BRCA1,58,47.50,48.33,2657,2702,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,71.74,4.35,23.91
BRCA1,59,48.33,49.17,2703,2749,141,128,90.78,2,1.42,11,7.80,1,0.71,0.00,78.72,7.80,13.48
BRCA1,60,49.17,50.00,2750,2796,138,135,97.83,1,0.72,2,1.45,1,0.72,0.00,71.01,1.45,27.54
BRCA1,61,50.00,50.83,2797,2842,141,133,94.33,1,0.71,7,4.96,1,0.71,0.00,78.01,4.96,17.02
BRCA1,62,50.83,51.67,2843,2889,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,70.21,4.96,24.82
BRCA1,63,51.67,52.50,2890,2935,138,131,94.93,0,0.00,7,5.07,0,0.00,0.00,72.46,5.07,22.46
BRCA1,64,52.50,53.33,2936,2982,141,133,94.33,1,0.71,7,4.96,1,0.71,0.00,70.92,4.96,24.11
BRCA1,65,53.33,54.17,2983,3029,138,129,93.48,0,0.00,9,6.52,0,0.00,0.00,76.09,6.52,17.39
BRCA1,66,54.17,55.00,3030,3075,141,135,95.74,1,0.71,5,3.55,0,0.00,0.00,75.89,3.55,20.57
BRCA1,67,55.00,55.83,3076,3122,141,135,95.74,0,0.00,6,4.26,0,0.00,0.00,76.60,4.26,19.15
BRCA1,68,55.83,56.67,3123,3168,138,135,97.83,1,0.72,2,1.45,0,0.00,0.00,76.81,1.45,21.74
BRCA1,69,56.67,57.50,3169,3215,141,137,97.16,0,0.00,4,2.84,0,0.00,0.00,77.30,2.84,19.86
BRCA1,70,57.50,58.33,3216,3262,138,131,94.93,0,0.00,7,5.07,0,0.00,0.00,72.46,5.07,22.46
BRCA1,71,58.33,59.17,3263,3308,141,132,93.62,0,0.00,9,6.38,0,0.00,0.00,73.05,6.38,20.57
BRCA1,72,59.17,60.00,3309,3355,141,130,92.20,0,0.00,11,7.80,0,0.00,0.00,76.60,7.80,15.60
BRCA1,73,60.00,60.83,3356,3401,138,115,83.33,16,11.59,7,5.07,7,5.07,0.00,71.01,5.07,23.91
BRCA1,74,60.83,61.67,3402,3448,141,126,89.36,10,7.09,5,3.55,3,2.13,0.00,76.60,3.55,19.86
BRCA1,75,61.67,62.50,3449,3495,138,132,95.65,1,0.72,5,3.62,0,0.00,0.00,76.81,3.62,19.57
BRCA1,76,62.50,63.33,3496,3541,141,135,95.74,2,1.42,4,2.84,2,1.42,0.00,80.14,2.84,17.02
BRCA1,77,63.33,64.17,3542,3588,141,135,95.74,2,1.42,4,2.84,1,0.71,0.00,75.18,2.84,21.99
BRCA1,78,64.17,65.00,3589,3634,138,125,90.58,0,0.00,13,9.42,0,0.00,0.00,68.12,9.42,22.46
BRCA1,79,65.00,65.83,3635,3681,141,128,90.78,4,2.84,9,6.38,1,0.71,0.00,75.89,6.38,17.73
BRCA1,80,65.83,66.67,3682,3728,138,129,93.48,4,2.90,5,3.62,1,0.72,0.00,73.91,3.62,22.46
BRCA1,81,66.67,67.50,3729,3774,141,136,96.45,0,0.00,5,3.55,0,0.00,0.00,74.47,3.55,21.99
BRCA1,82,67.50,68.33,3775,3821,141,129,91.49,0,0.00,12,8.51,0,0.00,0.00,74.47,8.51,17.02
BRCA1,83,68.33,69.17,3822,3867,138,128,92.75,3,2.17,7,5.07,0,0.00,0.00,75.36,5.07,19.57
BRCA1,84,69.17,70.00,3868,3914,141,88,62.41,44,31.21,9,6.38,14,9.93,0.00,75.18,6.38,18.44
BRCA1,85,70.00,70.83,3915,3961,138,127,92.03,8,5.80,3,2.17,1,0.72,0.00,74.64,2.17,23.19
BRCA1,86,70.83,71.67,3962,4007,141,132,93.62,3,2.13,6,4.26,2,1.42,0.00,75.18,4.26,20.57
BRCA1,87,71.67,72.50,4008,4054,141,115,81.56,15,10.64,11,7.80,6,4.26,0.00,72.34,7.80,19.86
BRCA1,88,72.50,73.33,4055,4100,138,88,63.77,40,28.99,10,7.25,24,17.39,0.00,78.26,7.25,14.49
BRCA1,89,73.33,74.17,4101,4147,141,133,94.33,1,0.71,7,4.96,2,1.42,0.00,74.47,4.96,20.57
BRCA1,90,74.17,75.00,4148,4194,138,68,49.28,64,46.38,6,4.35,15,10.87,0.00,71.74,3.62,24.64
BRCA1,91,75.00,75.83,4195,4240,141,11,7.80,124,87.94,6,4.26,1,0.71,0.00,78.72,4.26,17.02
BRCA1,92,75.83,76.67,4241,4287,141,54,38.30,79,56.03,8,5.67,0,0.00,0.00,73.76,5.67,20.57
BRCA1,93,76.67,77.50,4288,4333,138,135,97.83,1,0.72,2,1.45,1,0.72,0.00,73.19,1.45,25.36
BRCA1,94,77.50,78.33,4334,4380,141,66,46.81,63,44.68,12,8.51,56,39.72,0.00,69.50,8.51,21.99
BRCA1,95,78.33,79.17,4381,4427,138,103,74.64,29,21.01,6,4.35,7,5.07,0.00,75.36,4.35,20.29
BRCA1,96,79.17,80.00,4428,4473,141,129,91.49,7,4.96,5,3.55,1,0.71,0.00,76.60,3.55,19.86
BRCA1,97,80.00,80.83,4474,4520,141,99,70.21,32,22.70,10,7.09,19,13.48,0.00,68.79,6.38,24.82
BRCA1,98,80.83,81.67,4521,4566,138,129,93.48,0,0.00,9,6.52,0,0.00,0.00,78.99,6.52,14.49
BRCA1,99,81.67,82.50,4567,4613,141,131,92.91,2,1.42,8,5.67,3,2.13,0.00,73.76,5.67,20.57
BRCA1,100,82.50,83.33,4614,4660,138,127,92.03,4,2.90,7,5.07,1,0.72,0.00,71.74,5.07,23.19
BRCA1,101,83.33,84.17,4661,4706,141,98,69.50,35,24.82,8,5.67,10,7.09,0.00,69.50,4.96,25.53
BRCA1,102,84.17,85.00,4707,4753,141,137,97.16,1,0.71,3,2.13,0,0.00,0.00,76.60,2.13,21.28
BRCA1,103,85.00,85.83,4754,4799,138,131,94.93,1,0.72,6,4.35,1,0.72,0.00,65.22,4.35,30.43
BRCA1,104,85.83,86.67,4800,4846,141,133,94.33,2,1.42,6,4.26,3,2.13,0.00,73.05,4.26,22.70
BRCA1,105,86.67,87.50,4847,4893,138,129,93.48,4,2.90,5,3.62,5,3.62,0.00,74.64,2.90,22.46
BRCA1,106,87.50,88.33,4894,4939,141,133,94.33,0,0.00,8,5.67,3,2.13,0.00,72.34,4.96,22.70
BRCA1,107,88.33,89.17,4940,4986,141,105,74.47,31,21.99,5,3.55,4,2.84,0.00,74.47,2.84,22.70
BRCA1,108,89.17,90.00,4987,5032,138,84,60.87,44,31.88,10,7.25,15,10.87,0.00,75.36,5.07,19.57
BRCA1,109,90.00,90.83,5033,5079,141,71,50.35,42,29.79,28,19.86,40,28.37,0.00,73.76,2.84,23.40
BRCA1,110,90.83,91.67,5080,5126,138,64,46.38,64,46.38,10,7.25,4,2.90,0.00,71.01,5.07,23.91
BRCA1,111,91.67,92.50,5127,5172,141,86,60.99,38,26.95,17,12.06,5,3.55,0.00,71.63,7.80,20.57
BRCA1,112,92.50,93.33,5173,5219,141,98,69.50,33,23.40,10,7.09,2,1.42,0.00,77.30,4.26,18.44
BRCA1,113,93.33,94.17,5220,5265,138,82,59.42,47,34.06,9,6.52,0,0.00,0.00,71.01,5.80,23.19
BRCA1,114,94.17,95.00,5266,5312,141,84,59.57,47,33.33,10,7.09,3,2.13,0.00,74.47,4.96,20.57
BRCA1,115,95.00,95.83,5313,5359,138,96,69.57,34,24.64,8,5.80,4,2.90,0.00,77.54,3.62,18.84
BRCA1,116,95.83,96.67,5360,5405,141,107,75.89,27,19.15,7,4.96,0,0.00,0.00,66.67,4.96,28.37
BRCA1,117,96.67,97.50,5406,5452,141,93,65.96,43,30.50,5,3.55,10,7.09,0.00,73.76,2.84,23.40
BRCA1,118,97.50,98.33,5453,5498,138,105,76.09,27,19.57,6,4.35,6,4.35,0.00,76.09,2.17,21.74
BRCA1,119,98.33,99.17,5499,5545,141,79,56.03,48,34.04,14,9.93,0,0.00,0.00,72.34,7.80,19.86
BRCA1,120,99.17,100.00,5546,5592,138,104,75.36,31,22.46,3,2.17,0,0.00,0.00,74.64,3.62,21.74
BRCA2,1,0.00,0.83,1,85,258,72,27.91,175,67.83,11,4.26,9,3.49,3.49,72.48,3.88,20.16
BRCA2,2,0.83,1.67,86,170,255,146,57.25,93,36.47,16,6.27,9,3.53,0.00,74.12,6.27,19.61
BRCA2,3,1.67,2.50,171,256,258,246,95.35,0,0.00,12,4.65,1,0.39,0.00,72.87,4.65,22.48
BRCA2,4,2.50,3.33,257,341,255,222,87.06,18,7.06,15,5.88,8,3.14,0.00,71.37,5.88,22.75
BRCA2,5,3.33,4.17,342,427,258,240,93.02,11,4.26,7,2.71,8,3.10,0.00,76.36,2.71,20.93
BRCA2,6,4.17,5.00,428,512,255,225,88.24,20,7.84,10,3.92,18,7.06,0.00,71.76,3.92,24.31
BRCA2,7,5.00,5.83,513,598,258,166,64.34,80,31.01,12,4.65,31,12.02,0.00,73.26,4.65,22.09
BRCA2,8,5.83,6.67,599,683,255,205,80.39,46,18.04,4,1.57,21,8.24,0.00,72.16,1.57,26.27
BRCA2,9,6.67,7.50,684,769,258,232,89.92,18,6.98,8,3.10,10,3.88,0.00,78.68,3.10,18.22
BRCA2,10,7.50,8.33,770,854,255,235,92.16,5,1.96,15,5.88,4,1.57,0.00,74.12,5.88,20.00
BRCA2,11,8.33,9.17,855,940,258,240,93.02,3,1.16,15,5.81,2,0.78,0.00,73.64,5.81,20.54
BRCA2,12,9.17,10.00,941,1025,255,240,94.12,2,0.78,13,5.10,2,0.78,0.00,76.08,5.10,18.82
BRCA2,13,10.00,10.83,1026,1111,258,242,93.80,0,0.00,16,6.20,0,0.00,0.00,74.03,6.20,19.77
BRCA2,14,10.83,11.67,1112,1196,255,242,94.90,0,0.00,13,5.10,1,0.39,0.00,73.33,5.10,21.57
BRCA2,15,11.67,12.50,1197,1282,258,242,93.80,1,0.39,15,5.81,1,0.39,0.00,72.48,5.81,21.71
BRCA2,16,12.50,13.33,1283,1367,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,71.37,5.88,22.75
BRCA2,17,13.33,14.17,1368,1453,258,244,94.57,1,0.39,13,5.04,0,0.00,0.00,75.19,5.04,19.77
BRCA2,18,14.17,15.00,1454,1538,255,240,94.12,2,0.78,13,5.10,2,0.78,0.00,70.20,5.10,24.71
BRCA2,19,15.00,15.83,1539,1624,258,245,94.96,3,1.16,10,3.88,0,0.00,0.00,76.74,3.88,19.38
BRCA2,20,15.83,16.67,1625,1709,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,72.94,5.88,21.18
BRCA2,21,16.67,17.50,1710,1794,255,239,93.73,4,1.57,12,4.71,3,1.18,0.00,74.12,4.71,21.18
BRCA2,22,17.50,18.33,1795,1880,258,239,92.64,1,0.39,18,6.98,1,0.39,0.00,72.87,6.98,20.16
BRCA2,23,18.33,19.17,1881,1965,255,234,91.76,8,3.14,13,5.10,5,1.96,0.00,72.55,5.10,22.35
BRCA2,24,19.17,20.00,1966,2051,258,249,96.51,0,0.00,9,3.49,1,0.39,0.00,72.48,3.49,24.03
BRCA2,25,20.00,20.83,2052,2136,255,236,92.55,2,0.78,17,6.67,0,0.00,0.00,72.55,6.67,20.78
BRCA2,26,20.83,21.67,2137,2222,258,243,94.19,0,0.00,15,5.81,0,0.00,0.00,74.42,5.81,19.77
BRCA2,27,21.67,22.50,2223,2307,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,76.47,5.88,17.65
BRCA2,28,22.50,23.33,2308,2393,258,242,93.80,0,0.00,16,6.20,0,0.00,0.00,70.16,6.20,23.64
BRCA2,29,23.33,24.17,2394,2478,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,76.86,5.88,17.25
BRCA2,30,24.17,25.00,2479,2564,258,240,93.02,0,0.00,18,6.98,0,0.00,0.00,72.09,6.98,20.93
BRCA2,31,25.00,25.83,2565,2649,255,242,94.90,0,0.00,13,5.10,0,0.00,0.00,73.33,5.10,21.57
BRCA2,32,25.83,26.67,2650,2735,258,247,95.74,0,0.00,11,4.26,0,0.00,0.00,75.97,4.26,19.77
BRCA2,33,26.67,27.50,2736,2820,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,74.90,4.71,20.39
BRCA2,34,27.50,28.33,2821,2906,258,244,94.57,0,0.00,14,5.43,0,0.00,0.00,74.42,5.43,20.16
BRCA2,35,28.33,29.17,2907,2991,255,239,93.73,0,0.00,16,6.27,0,0.00,0.00,76.47,6.27,17.25
BRCA2,36,29.17,30.00,2992,3077,258,246,95.35,0,0.00,12,4.65,0,0.00,0.00,74.81,4.65,20.54
BRCA2,37,30.00,30.83,3078,3162,255,241,94.51,0,0.00,14,5.49,0,0.00,0.00,76.47,5.49,18.04
BRCA2,38,30.83,31.67,3163,3248,258,246,95.35,0,0.00,12,4.65,0,0.00,0.00,74.42,4.65,20.93
BRCA2,39,31.67,32.50,3249,3333,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,77.65,4.71,17.65
BRCA2,40,32.50,33.33,3334,3419,255,237,92.94,0,0.00,18,7.06,0,0.00,0.00,73.73,7.06,19.22
BRCA2,41,33.33,34.17,3420,3504,258,248,96.12,0,0.00,10,3.88,0,0.00,0.00,76.36,3.88,19.77
BRCA2,42,34.17,35.00,3505,3589,255,245,96.08,0,0.00,10,3.92,0,0.00,0.00,73.73,3.92,22.35
BRCA2,43,35.00,35.83,3590,3675,258,247,95.74,0,0.00,11,4.26,0,0.00,0.00,75.19,4.26,20.54
BRCA2,44,35.83,36.67,3676,3760,255,247,96.86,0,0.00,8,3.14,0,0.00,0.00,74.51,3.14,22.35
BRCA2,45,36.67,37.50,3761,3846,258,247,95.74,0,0.00,11,4.26,0,0.00,0.00,76.74,4.26,18.99
BRCA2,46,37.50,38.33,3847,3931,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,76.47,4.71,18.82
BRCA2,47,38.33,39.17,3932,4017,258,245,94.96,0,0.00,13,5.04,0,0.00,0.00,77.91,5.04,17.05
BRCA2,48,39.17,40.00,4018,4102,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,76.86,4.71,18.43
BRCA2,49,40.00,40.83,4103,4188,258,241,93.41,0,0.00,17,6.59,0,0.00,0.00,74.03,6.59,19.38
BRCA2,50,40.83,41.67,4189,4273,255,242,94.90,0,0.00,13,5.10,0,0.00,0.00,75.29,5.10,19.61
BRCA2,51,41.67,42.50,4274,4359,258,249,96.51,0,0.00,9,3.49,0,0.00,0.00,78.29,3.49,18.22
BRCA2,52,42.50,43.33,4360,4444,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,76.86,5.88,17.25
BRCA2,53,43.33,44.17,4445,4530,258,248,96.12,0,0.00,10,3.88,0,0.00,0.00,72.48,3.88,23.64
BRCA2,54,44.17,45.00,4531,4615,255,244,95.69,0,0.00,11,4.31,0,0.00,0.00,74.12,4.31,21.57
BRCA2,55,45.00,45.83,4616,4701,258,246,95.35,0,0.00,12,4.65,0,0.00,0.00,77.52,4.65,17.83
BRCA2,56,45.83,46.67,4702,4786,255,238,93.33,0,0.00,17,6.67,0,0.00,0.00,74.90,6.67,18.43
BRCA2,57,46.67,47.50,4787,4872,258,247,95.74,0,0.00,11,4.26,0,0.00,0.00,73.64,4.26,22.09
BRCA2,58,47.50,48.33,4873,4957,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,75.69,4.71,19.61
BRCA2,59,48.33,49.17,4958,5043,258,240,93.02,0,0.00,18,6.98,0,0.00,0.00,70.54,6.98,22.48
BRCA2,60,49.17,50.00,5044,5128,255,239,93.73,0,0.00,16,6.27,0,0.00,0.00,73.33,6.27,20.39
BRCA2,61,50.00,50.83,5129,5213,255,239,93.73,0,0.00,16,6.27,0,0.00,0.00,75.29,6.27,18.43
BRCA2,62,50.83,51.67,5214,5299,258,238,92.25,0,0.00,20,7.75,0,0.00,0.00,75.19,7.75,17.05
BRCA2,63,51.67,52.50,5300,5384,255,247,96.86,0,0.00,8,3.14,0,0.00,0.00,75.69,3.14,21.18
BRCA2,64,52.50,53.33,5385,5470,258,246,95.35,0,0.00,12,4.65,0,0.00,0.00,74.81,4.65,20.54
BRCA2,65,53.33,54.17,5471,5555,255,251,98.43,0,0.00,4,1.57,0,0.00,0.00,75.29,1.57,23.14
BRCA2,66,54.17,55.00,5556,5641,258,246,95.35,0,0.00,12,4.65,0,0.00,0.00,78.68,4.65,16.67
BRCA2,67,55.00,55.83,5642,5726,255,241,94.51,0,0.00,14,5.49,0,0.00,0.00,74.51,5.49,20.00
BRCA2,68,55.83,56.67,5727,5812,258,245,94.96,0,0.00,13,5.04,0,0.00,0.00,79.46,5.04,15.50
BRCA2,69,56.67,57.50,5813,5897,255,240,94.12,0,0.00,15,5.88,0,0.00,0.00,72.94,5.88,21.18
BRCA2,70,57.50,58.33,5898,5983,258,242,93.80,0,0.00,16,6.20,0,0.00,0.00,69.77,6.20,24.03
BRCA2,71,58.33,59.17,5984,6068,255,243,95.29,0,0.00,12,4.71,0,0.00,0.00,76.47,4.71,18.82
BRCA2,72,59.17,60.00,6069,6154,258,243,94.19,0,0.00,15,5.81,0,0.00,0.00,72.48,5.81,21.71
BRCA2,73,60.00,60.83,6155,6239,255,241,94.51,0,0.00,14,5.49,0,0.00,0.00,70.59,5.49,23.92
BRCA2,74,60.83,61.67,6240,6325,258,243,94.19,0,0.00,15,5.81,0,0.00,0.00,72.87,5.81,21.32
BRCA2,75,61.67,62.50,6326,6410,255,236,92.55,0,0.00,19,7.45,0,0.00,0.00,75.69,7.45,16.86
BRCA2,76,62.50,63.33,6411,6496,258,239,92.64,5,1.94,14,5.43,3,1.16,0.00,74.42,5.43,20.16
BRCA2,77,63.33,64.17,6497,6581,255,238,93.33,0,0.00,17,6.67,0,0.00,0.00,70.59,6.67,22.75
BRCA2,78,64.17,65.00,6582,6667,258,224,86.82,21,8.14,13,5.04,10,3.88,0.00,73.64,5.04,21.32
BRCA2,79,65.00,65.83,6668,6752,255,248,97.25,0,0.00,7,2.75,0,0.00,0.00,75.69,2.75,21.57
BRCA2,80,65.83,66.67,6753,6838,255,232,90.98,5,1.96,18,7.06,4,1.57,0.00,70.98,7.06,21.96
BRCA2,81,66.67,67.50,6839,6923,258,202,78.29,35,13.57,21,8.14,16,6.20,0.00,72.09,8.14,19.77
BRCA2,82,67.50,68.33,6924,7008,255,237,92.94,9,3.53,9,3.53,9,3.53,0.00,74.51,3.14,22.35
BRCA2,83,68.33,69.17,7009,7094,258,242,93.80,4,1.55,12,4.65,4,1.55,0.00,74.42,4.65,20.93
BRCA2,84,69.17,70.00,7095,7179,255,232,90.98,6,2.35,17,6.67,3,1.18,0.00,70.59,6.67,22.75
BRCA2,85,70.00,70.83,7180,7265,258,243,94.19,4,1.55,11,4.26,3,1.16,0.00,73.64,4.26,22.09
BRCA2,86,70.83,71.67,7266,7350,255,243,95.29,2,0.78,10,3.92,0,0.00,0.00,79.61,3.92,16.47
BRCA2,87,71.67,72.50,7351,7436,258,235,91.09,12,4.65,11,4.26,9,3.49,0.00,77.52,4.26,18.22
BRCA2,88,72.50,73.33,7437,7521,255,22,8.63,221,86.67,12,4.71,37,14.51,0.00,75.69,4.71,19.61
BRCA2,89,73.33,74.17,7522,7607,258,16,6.20,234,90.70,8,3.10,3,1.16,0.00,66.67,3.10,30.23
BRCA2,90,74.17,75.00,7608,7692,255,11,4.31,231,90.59,13,5.10,16,6.27,0.00,76.47,5.10,18.43
BRCA2,91,75.00,75.83,7693,7778,258,4,1.55,237,91.86,17,6.59,32,12.40,0.00,72.87,6.59,20.54
BRCA2,92,75.83,76.67,7779,7863,255,8,3.14,233,91.37,14,5.49,18,7.06,0.00,72.55,5.49,21.96
BRCA2,93,76.67,77.50,7864,7949,258,9,3.49,233,90.31,16,6.20,7,2.71,0.00,75.58,5.81,18.60
BRCA2,94,77.50,78.33,7950,8034,255,15,5.88,217,85.10,23,9.02,14,5.49,0.00,74.12,5.88,20.00
BRCA2,95,78.33,79.17,8035,8120,258,10,3.88,241,93.41,7,2.71,1,0.39,0.00,73.64,2.71,23.64
