gene,bin,cds_start,cds_end,cluster,benign_fraction,vus_fraction,pathogenic_fraction,spliceai_ge_0_20_fraction,mean_spliceai,near_boundary_fraction,pvs1_fraction,pp3_fraction,bs3_fraction,bp1_fraction
BRCA1,30,1352,1398,2,0.9565,0.0000,0.0435,0.0000,0.0000,0.0000,0.0435,0.0000,0.0072,0.9565
BRCA1,31,1399,1444,2,0.9645,0.0000,0.0355,0.0000,0.0009,0.0000,0.0355,0.0000,0.0142,0.9645
BRCA1,32,1445,1491,2,0.9645,0.0000,0.0355,0.0000,0.0007,0.0000,0.0355,0.0000,0.0000,0.9645
BRCA1,33,1492,1537,2,0.9420,0.0000,0.0580,0.0000,0.0000,0.0000,0.0580,0.0000,0.0290,0.9420
BRCA1,34,1538,1584,2,0.9574,0.0000,0.0426,0.0000,0.0002,0.0000,0.0426,0.0000,0.0071,0.9574
BRCA1,35,1585,1631,2,0.9493,0.0000,0.0507,0.0000,0.0002,0.0000,0.0507,0.0000,0.0072,0.9493
BRCA1,36,1632,1677,2,0.9787,0.0000,0.0213,0.0000,0.0001,0.0000,0.0213,0.0000,0.0000,0.9787
BRCA1,37,1678,1724,2,0.9504,0.0000,0.0496,0.0000,0.0002,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,38,1725,1770,2,0.9638,0.0000,0.0362,0.0000,0.0001,0.0000,0.0362,0.0000,0.0000,0.9638
BRCA1,39,1771,1817,2,0.9504,0.0000,0.0496,0.0000,0.0000,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,40,1818,1864,2,0.9783,0.0000,0.0217,0.0000,0.0001,0.0000,0.0217,0.0000,0.0000,0.9783
BRCA1,41,1865,1910,2,0.9787,0.0000,0.0213,0.0000,0.0004,0.0000,0.0213,0.0000,0.0213,0.9787
BRCA1,42,1911,1957,2,0.9362,0.0000,0.0638,0.0000,0.0005,0.0000,0.0638,0.0000,0.0142,0.9362
BRCA1,43,1958,2003,2,0.9565,0.0000,0.0435,0.0000,0.0007,0.0000,0.0435,0.0000,0.0145,0.9565
BRCA1,44,2004,2050,2,0.9504,0.0000,0.0496,0.0000,0.0023,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,45,2051,2097,2,0.9638,0.0000,0.0362,0.0000,0.0011,0.0000,0.0362,0.0000,0.0072,0.9493
BRCA1,46,2098,2143,2,0.9433,0.0071,0.0496,0.0071,0.0021,0.0000,0.0496,0.0071,0.0142,0.9433
BRCA1,47,2144,2190,2,0.9504,0.0000,0.0496,0.0000,0.0000,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,48,2191,2236,2,0.9493,0.0072,0.0435,0.0072,0.0022,0.0000,0.0435,0.0072,0.0072,0.9493
BRCA1,49,2237,2283,2,0.9291,0.0071,0.0638,0.0071,0.0047,0.0000,0.0638,0.0071,0.0213,0.9291
BRCA1,50,2284,2330,2,0.9710,0.0000,0.0290,0.0000,0.0003,0.0000,0.0290,0.0000,0.0000,0.9638
BRCA1,51,2331,2376,2,0.9291,0.0071,0.0638,0.0071,0.0025,0.0000,0.0638,0.0071,0.0142,0.9291
BRCA1,52,2377,2423,2,0.9574,0.0000,0.0426,0.0000,0.0002,0.0000,0.0426,0.0000,0.0071,0.9574
BRCA1,53,2424,2469,2,0.9565,0.0000,0.0435,0.0000,0.0001,0.0000,0.0435,0.0000,0.0145,0.9493
BRCA1,54,2470,2516,2,0.9504,0.0000,0.0496,0.0000,0.0001,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,55,2517,2563,2,0.9565,0.0000,0.0435,0.0000,0.0005,0.0000,0.0435,0.0000,0.0362,0.9565
BRCA1,56,2564,2609,2,0.9220,0.0000,0.0780,0.0000,0.0008,0.0000,0.0780,0.0000,0.0142,0.9220
BRCA1,57,2610,2656,2,0.9433,0.0071,0.0496,0.0000,0.0026,0.0000,0.0496,0.0000,0.0142,0.9362
BRCA1,58,2657,2702,2,0.9565,0.0000,0.0435,0.0000,0.0002,0.0000,0.0435,0.0000,0.0217,0.9565
BRCA1,59,2703,2749,2,0.9078,0.0142,0.0780,0.0071,0.0074,0.0000,0.0780,0.0071,0.0071,0.9007
BRCA1,60,2750,2796,2,0.9783,0.0072,0.0145,0.0072,0.0045,0.0000,0.0145,0.0072,0.0145,0.9783
BRCA1,61,2797,2842,2,0.9433,0.0071,0.0496,0.0071,0.0059,0.0000,0.0496,0.0071,0.0142,0.9433
BRCA1,62,2843,2889,2,0.9504,0.0000,0.0496,0.0000,0.0002,0.0000,0.0496,0.0000,0.0000,0.9504
BRCA1,63,2890,2935,2,0.9493,0.0000,0.0507,0.0000,0.0007,0.0000,0.0507,0.0000,0.0072,0.9493
BRCA1,64,2936,2982,2,0.9433,0.0071,0.0496,0.0071,0.0050,0.0000,0.0496,0.0071,0.0142,0.9433
BRCA1,65,2983,3029,2,0.9348,0.0000,0.0652,0.0000,0.0019,0.0000,0.0652,0.0000,0.0217,0.9275
BRCA1,66,3030,3075,2,0.9574,0.0071,0.0355,0.0000,0.0030,0.0000,0.0355,0.0000,0.0071,0.9574
BRCA1,67,3076,3122,2,0.9574,0.0000,0.0426,0.0000,0.0000,0.0000,0.0426,0.0000,0.0213,0.9362
BRCA1,68,3123,3168,2,0.9783,0.0072,0.0145,0.0000,0.0013,0.0000,0.0145,0.0000,0.0000,0.9783
BRCA1,69,3169,3215,2,0.9716,0.0000,0.0284,0.0000,0.0000,0.0000,0.0284,0.0000,0.0142,0.9716
BRCA1,70,3216,3262,2,0.9493,0.0000,0.0507,0.0000,0.0001,0.0000,0.0507,0.0000,0.0072,0.9493
BRCA1,71,3263,3308,2,0.9362,0.0000,0.0638,0.0000,0.0001,0.0000,0.0638,0.0000,0.0213,0.9362
BRCA1,72,3309,3355,2,0.9220,0.0000,0.0780,0.0000,0.0057,0.0000,0.0780,0.0000,0.0000,0.9220
BRCA1,73,3356,3401,3,0.8333,0.1159,0.0507,0.0507,0.0601,0.0000,0.0507,0.0435,0.0000,0.8333
BRCA1,74,3402,3448,2,0.8936,0.0709,0.0355,0.0213,0.0371,0.0000,0.0355,0.0213,0.0142,0.8865
BRCA1,75,3449,3495,2,0.9565,0.0072,0.0362,0.0000,0.0020,0.0000,0.0362,0.0000,0.0217,0.9565
BRCA1,76,3496,3541,2,0.9574,0.0142,0.0284,0.0142,0.0117,0.0000,0.0284,0.0142,0.0142,0.9574
BRCA1,77,3542,3588,2,0.9574,0.0142,0.0284,0.0071,0.0053,0.0000,0.0284,0.0071,0.0000,0.9504
BRCA1,78,3589,3634,2,0.9058,0.0000,0.0942,0.0000,0.0006,0.0000,0.0942,0.0000,0.0145,0.9058
BRCA1,79,3635,3681,2,0.9078,0.0284,0.0638,0.0071,0.0233,0.0000,0.0638,0.0071,0.0071,0.9078
BRCA1,80,3682,3728,2,0.9348,0.0290,0.0362,0.0072,0.0267,0.0000,0.0362,0.0072,0.0217,0.9348
BRCA1,81,3729,3774,2,0.9645,0.0000,0.0355,0.0000,0.0048,0.0000,0.0355,0.0000,0.0142,0.9645
BRCA1,82,3775,3821,2,0.9149,0.0000,0.0851,0.0000,0.0185,0.0000,0.0851,0.0000,0.0142,0.9149
BRCA1,83,3822,3867,2,0.9275,0.0217,0.0507,0.0000,0.0204,0.0000,0.0507,0.0000,0.0145,0.9275
BRCA1,84,3868,3914,3,0.6241,0.3121,0.0638,0.0993,0.1130,0.0000,0.0638,0.0922,0.0142,0.6241
BRCA1,85,3915,3961,2,0.9203,0.0580,0.0217,0.0072,0.0378,0.0000,0.0217,0.0072,0.0290,0.9203
BRCA1,86,3962,4007,2,0.9362,0.0213,0.0426,0.0142,0.0145,0.0000,0.0426,0.0142,0.0071,0.9362
BRCA1,87,4008,4054,3,0.8156,0.1064,0.0780,0.0426,0.0496,0.0000,0.0780,0.0284,0.0213,0.8014
BRCA1,88,4055,4100,5,0.6377,0.2899,0.0725,0.1739,0.1171,0.3478,0.0725,0.1377,0.0072,0.6377
BRCA1,89,4101,4147,2,0.9433,0.0071,0.0496,0.0142,0.0143,0.1277,0.0496,0.0071,0.0284,0.9433
BRCA1,90,4148,4194,5,0.4928,0.4638,0.0435,0.1087,0.0877,0.4348,0.0362,0.1014,0.0145,0.4710
BRCA1,91,4195,4240,4,0.0780,0.8794,0.0426,0.0071,0.0189,0.0426,0.0426,0.0071,0.0638,0.0000
BRCA1,92,4241,4287,4,0.3830,0.5603,0.0567,0.0000,0.0006,0.0000,0.0567,0.0000,0.0426,0.3262
BRCA1,93,4288,4333,2,0.9783,0.0072,0.0145,0.0072,0.0087,0.0000,0.0145,0.0072,0.0217,0.9710
BRCA1,94,4334,4380,5,0.4681,0.4468,0.0851,0.3972,0.1835,0.4681,0.0851,0.3546,0.0213,0.4681
BRCA1,95,4381,4427,3,0.7464,0.2101,0.0435,0.0507,0.0785,0.0000,0.0435,0.0217,0.0435,0.7319
BRCA1,96,4428,4473,2,0.9149,0.0496,0.0355,0.0071,0.0243,0.0213,0.0355,0.0071,0.0142,0.9149
BRCA1,97,4474,4520,5,0.7021,0.2270,0.0709,0.1348,0.1124,0.4468,0.0638,0.1348,0.0284,0.7021
BRCA1,98,4521,4566,2,0.9348,0.0000,0.0652,0.0000,0.0184,0.0000,0.0652,0.0000,0.0290,0.9275
BRCA1,99,4567,4613,2,0.9291,0.0142,0.0567,0.0213,0.0111,0.0000,0.0567,0.0142,0.0284,0.9291
BRCA1,100,4614,4660,2,0.9203,0.0290,0.0507,0.0072,0.0340,0.0000,0.0507,0.0072,0.0580,0.9203
BRCA1,101,4661,4706,5,0.6950,0.2482,0.0567,0.0709,0.0918,0.4681,0.0496,0.0567,0.0355,0.6809
BRCA1,102,4707,4753,2,0.9716,0.0071,0.0213,0.0000,0.0023,0.0000,0.0213,0.0000,0.0709,0.9716
BRCA1,103,4754,4799,2,0.9493,0.0072,0.0435,0.0072,0.0047,0.0000,0.0435,0.0000,0.0652,0.9493
BRCA1,104,4800,4846,2,0.9433,0.0142,0.0426,0.0213,0.0204,0.0000,0.0426,0.0071,0.0638,0.9362
BRCA1,105,4847,4893,2,0.9348,0.0290,0.0362,0.0362,0.0309,0.0000,0.0290,0.0290,0.0725,0.9275
BRCA1,106,4894,4939,2,0.9433,0.0000,0.0567,0.0213,0.0228,0.0000,0.0496,0.0213,0.8652,0.9220
BRCA1,107,4940,4986,1,0.7447,0.2199,0.0355,0.0284,0.0317,0.2553,0.0284,0.0284,0.7589,0.1277
BRCA1,108,4987,5032,1,0.6087,0.3188,0.0725,0.1087,0.0826,0.2174,0.0507,0.0797,0.6884,0.0000
BRCA1,109,5033,5079,1,0.5035,0.2979,0.1986,0.2837,0.1869,0.3617,0.0284,0.2553,0.5390,0.0000
BRCA1,110,5080,5126,1,0.4638,0.4638,0.0725,0.0290,0.0737,0.1087,0.0507,0.0217,0.5217,0.0000
BRCA1,111,5127,5172,1,0.6099,0.2695,0.1206,0.0355,0.0507,0.4681,0.0780,0.0355,0.6312,0.0000
BRCA1,112,5173,5219,1,0.6950,0.2340,0.0709,0.0142,0.0158,0.4681,0.0426,0.0213,0.7021,0.0000
BRCA1,113,5220,5265,1,0.5942,0.3406,0.0652,0.0000,0.0013,0.0000,0.0580,0.0000,0.6232,0.0000
BRCA1,114,5266,5312,1,0.5957,0.3333,0.0709,0.0213,0.0167,0.4681,0.0496,0.0213,0.6596,0.0000
BRCA1,115,5313,5359,1,0.6957,0.2464,0.0580,0.0290,0.0156,0.4783,0.0362,0.0290,0.7536,0.0000
BRCA1,116,5360,5405,1,0.7589,0.1915,0.0496,0.0000,0.0019,0.2340,0.0496,0.0000,0.8298,0.0000
BRCA1,117,5406,5452,1,0.6596,0.3050,0.0355,0.0709,0.0732,0.2340,0.0284,0.0496,0.7021,0.0000
BRCA1,118,5453,5498,1,0.7609,0.1957,0.0435,0.0435,0.0470,0.4783,0.0217,0.0435,0.8043,0.0000
BRCA1,119,5499,5545,1,0.5603,0.3404,0.0993,0.0000,0.0020,0.0000,0.0780,0.0000,0.6028,0.0000
BRCA1,120,5546,5592,5,0.7536,0.2246,0.0217,0.0000,0.0006,0.2391,0.0145,0.0000,0.3623,0.4348
