bin,cds_start,cds_end,max_spliceai,spliceai_ge_0_20,class_1,class_2,class_3,class_4,class_5
53,4445,4530,0.020,0,1,247,0,0,10
54,4531,4615,0.040,0,7,237,0,0,11
55,4616,4701,0.050,0,2,244,0,0,12
56,4702,4786,0.020,0,1,237,0,0,17
57,4787,4872,0.020,0,1,246,0,0,11
58,4873,4957,0.000,0,2,241,0,0,12
59,4958,5043,0.000,0,0,240,0,0,18
60,5044,5128,0.010,0,2,237,0,0,16
61,5129,5213,0.010,0,6,233,0,0,16
62,5214,5299,0.010,0,0,238,0,0,20
63,5300,5384,0.010,0,3,244,0,0,8
64,5385,5470,0.000,0,2,244,0,0,12
65,5471,5555,0.000,0,3,248,0,0,4
66,5556,5641,0.000,0,3,243,0,0,12
67,5642,5726,0.000,0,5,236,0,0,14
68,5727,5812,0.000,0,5,240,0,0,13
69,5813,5897,0.000,0,1,239,0,0,15
70,5898,5983,0.000,0,3,239,0,0,16
71,5984,6068,0.010,0,2,241,0,0,12
72,6069,6154,0.010,0,4,239,0,0,15
73,6155,6239,0.000,0,7,234,0,0,14
74,6240,6325,0.010,0,5,238,0,0,15
75,6326,6410,0.000,0,2,234,0,0,19
76,6411,6496,0.770,3,4,235,5,0,14
77,6497,6581,0.050,0,5,233,0,0,17
78,6582,6667,0.620,10,1,223,21,0,13
79,6668,6752,0.050,0,4,244,0,0,7
80,6753,6838,0.970,4,1,231,5,0,18
81,6839,6923,0.920,16,3,199,35,20,1
82,6924,7008,0.950,9,5,232,9,1,8
83,7009,7094,0.790,4,4,238,4,0,12
84,7095,7179,0.460,3,1,231,6,0,17
85,7180,7265,0.760,3,5,238,4,0,11
86,7266,7350,0.180,0,2,241,2,0,10
87,7351,7436,0.950,9,2,233,12,0,11
88,7437,7521,0.700,37,1,21,221,0,12
89,7522,7607,0.240,3,2,14,234,0,8
90,7608,7692,0.720,16,0,11,231,0,13
91,7693,7778,0.990,32,0,4,237,0,17
92,7779,7863,0.930,18,0,8,233,0,14
93,7864,7949,0.840,7,0,9,233,0,16
94,7950,8034,0.990,14,1,14,217,3,20
95,8035,8120,0.830,1,1,9,241,0,7
96,8121,8205,0.230,1,2,8,232,0,13
97,8206,8291,0.250,1,0,13,235,0,10
98,8292,8376,0.860,10,1,14,228,0,12
99,8377,8462,0.970,20,2,13,234,0,9
100,8463,8547,0.950,8,1,9,220,2,23
101,8548,8632,0.890,6,2,9,225,0,19
102,8633,8718,0.780,7,1,8,233,0,16
103,8719,8803,0.990,19,0,7,234,0,14
104,8804,8889,0.430,1,3,7,229,0,19
105,8890,8974,0.900,10,3,6,230,0,16
106,8975,9060,0.900,81,1,7,224,1,25
107,9061,9145,0.920,74,0,2,235,1,17
108,9146,9231,0.220,1,0,14,233,0,11
109,9232,9316,0.620,2,2,9,226,1,17
110,9317,9402,0.190,0,0,11,233,0,14
111,9403,9487,0.240,1,1,7,238,0,9
112,9488,9573,0.940,7,2,48,200,0,8
113,9574,9658,0.770,4,3,234,9,0,9
114,9659,9744,0.990,45,2,144,95,17,0
115,9745,9829,0.100,0,4,233,0,18,0
116,9830,9915,0.580,5,6,239,6,7,0
117,9916,10000,0.030,0,3,240,9,2,1
118,10001,10086,0.560,18,2,213,43,0,0
119,10087,10171,0.390,2,4,234,17,0,0
120,10172,10257,0.140,0,1,236,18,0,0
