gene,bin,cds_start,cds_end,n_variants,pathogenic_count,pathogenic_rate,pathogenic_expected,pathogenic_enrichment,pathogenic_poisson_tail,vus_count,vus_rate,vus_expected,vus_enrichment,vus_poisson_tail,high_spliceai_count,high_spliceai_rate,high_spliceai_expected,high_spliceai_enrichment,high_spliceai_poisson_tail,pvs1_count,pvs1_rate,pvs1_expected,pvs1_enrichment,pvs1_poisson_tail,pm5_ptc_count,pm5_ptc_rate,pm5_ptc_expected,pm5_ptc_enrichment,pm5_ptc_poisson_tail,bs3_count,bs3_rate,bs3_expected,bs3_enrichment,bs3_poisson_tail,bp1_count,bp1_rate,bp1_expected,bp1_enrichment,bp1_poisson_tail,pp3_count,pp3_rate,pp3_expected,pp3_enrichment,pp3_poisson_tail
BRCA1,11,467,512,141,4,0.0283688,7.23875,0.552581,0.929863,2,0.0141844,24.1806,0.082711,1,2,0.0141844,3.57341,0.559689,0.87167,4,0.0283688,6.90069,0.579652,0.912908,4,0.0283688,6.64566,0.601897,0.897788,7,0.0496454,7.49675,0.933738,0.621401,135,0.957447,103.362,1.30609,0.00163454,2,0.0141844,3.14342,0.636251,0.821273
BRCA1,12,513,559,141,8,0.0567376,7.23875,1.10516,0.436814,8,0.0567376,24.1806,0.330844,0.999958,8,0.0567376,3.57341,2.23876,0.0296738,8,0.0567376,6.90069,1.1593,0.386492,8,0.0567376,6.64566,1.20379,0.348649,1,0.0070922,7.49675,0.133391,0.999445,125,0.886525,103.362,1.20934,0.0211988,7,0.0496454,3.14342,2.22688,0.0412642
BRCA1,13,560,605,138,0,0,7.08474,0,0.999162,38,0.275362,23.6661,1.60567,0.00402731,19,0.137681,3.49738,5.43264,6.45231e-09,0,0,6.75386,0,0.998834,0,0,6.50426,0,0.998503,5,0.0362319,7.33725,0.681455,0.855612,98,0.710145,101.163,0.968735,0.636723,17,0.123188,3.07653,5.5257,3.09267e-08
BRCA1,14,606,652,141,0,0,7.23875,0,0.999282,54,0.382979,24.1806,2.2332,1.22885e-07,23,0.163121,3.57341,6.43643,6.69875e-12,0,0,6.90069,0,0.998993,0,0,6.64566,0,0.9987,0,0,7.49675,0,0.999445,87,0.617021,103.362,0.841702,0.954498,16,0.113475,3.14342,5.09,2.29221e-07
BRCA1,15,653,699,138,3,0.0217391,7.08474,0.423445,0.972201,25,0.181159,23.6661,1.05636,0.418923,19,0.137681,3.49738,5.43264,6.45231e-09,3,0.0217391,6.75386,0.44419,0.964355,3,0.0217391,6.50426,0.461236,0.957099,2,0.0144928,7.33725,0.272582,0.994574,110,0.797101,101.163,1.08736,0.202065,18,0.130435,3.07653,5.85074,5.23102e-09
BRCA1,16,700,745,141,3,0.0212766,7.23875,0.414436,0.975266,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,3,0.0212766,6.90069,0.434739,0.968065,3,0.0212766,6.64566,0.451423,0.961364,3,0.0212766,7.49675,0.400173,0.979693,138,0.978723,103.362,1.33511,0.000663253,0,0,3.14342,0,0.956865
BRCA1,17,746,792,141,8,0.0567376,7.23875,1.10516,0.436814,39,0.276596,24.1806,1.61286,0.00336599,20,0.141844,3.57341,5.59689,1.59894e-09,8,0.0567376,6.90069,1.1593,0.386492,8,0.0567376,6.64566,1.20379,0.348649,1,0.0070922,7.49675,0.133391,0.999445,94,0.666667,103.362,0.909425,0.833832,20,0.141844,3.14342,6.36251,1.84745e-10
BRCA1,18,793,838,138,5,0.0362319,7.08474,0.705742,0.834599,21,0.152174,23.6661,0.887345,0.735957,2,0.0144928,3.49738,0.571856,0.863835,5,0.0362319,6.75386,0.740317,0.803348,5,0.0362319,6.50426,0.768727,0.776804,4,0.0289855,7.33725,0.545164,0.934207,112,0.811594,101.163,1.10713,0.152145,1,0.00724638,3.07653,0.325041,0.953881
BRCA1,19,839,885,141,12,0.0851064,7.23875,1.65774,0.0648797,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,12,0.0851064,6.90069,1.73896,0.0489901,12,0.0851064,6.64566,1.80569,0.0389259,0,0,7.49675,0,0.999445,129,0.914894,103.362,1.24804,0.00826207,0,0,3.14342,0,0.956865
BRCA1,20,886,932,138,7,0.0507246,7.08474,0.988039,0.562837,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,7,0.0507246,6.75386,1.03644,0.513009,7,0.0507246,6.50426,1.07622,0.474147,0,0,7.33725,0,0.999349,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,21,933,978,141,9,0.0638298,7.23875,1.24331,0.302525,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,2,0.0141844,7.49675,0.266782,0.995285,132,0.93617,103.362,1.27706,0.0037899,0,0,3.14342,0,0.956865
BRCA1,22,979,1025,141,4,0.0283688,7.23875,0.552581,0.929863,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,4,0.0283688,6.90069,0.579652,0.912908,4,0.0283688,6.64566,0.601897,0.897788,2,0.0141844,7.49675,0.266782,0.995285,136,0.964539,103.362,1.31576,0.00121829,0,0,3.14342,0,0.956865
BRCA1,23,1026,1071,138,10,0.0724638,7.08474,1.41148,0.1782,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,10,0.0724638,6.75386,1.48063,0.145447,10,0.0724638,6.50426,1.53745,0.122982,0,0,7.33725,0,0.999349,127,0.92029,101.163,1.2554,0.00735227,0,0,3.07653,0,0.953881
BRCA1,24,1072,1118,141,8,0.0567376,7.23875,1.10516,0.436814,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,8,0.0567376,6.90069,1.1593,0.386492,8,0.0567376,6.64566,1.20379,0.348649,1,0.0070922,7.49675,0.133391,0.999445,133,0.943262,103.362,1.28674,0.002883,0,0,3.14342,0,0.956865
BRCA1,25,1119,1165,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,0,0,7.33725,0,0.999349,132,0.956522,101.163,1.30483,0.00188056,0,0,3.07653,0,0.953881
BRCA1,26,1166,1211,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,27,1212,1258,141,5,0.035461,7.23875,0.690727,0.847696,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,5,0.035461,6.90069,0.724565,0.817754,5,0.035461,6.64566,0.752371,0.792163,6,0.0425532,7.49675,0.800347,0.758208,136,0.964539,103.362,1.31576,0.00121829,0,0,3.14342,0,0.956865
BRCA1,28,1259,1304,138,9,0.0652174,7.08474,1.27034,0.282022,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,9,0.0652174,6.75386,1.33257,0.239428,9,0.0652174,6.50426,1.38371,0.208933,0,0,7.33725,0,0.999349,129,0.934783,101.163,1.27517,0.00435179,0,0,3.07653,0,0.953881
BRCA1,29,1305,1351,141,10,0.070922,7.23875,1.38145,0.194516,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,10,0.070922,6.90069,1.44913,0.159578,10,0.070922,6.64566,1.50474,0.135462,3,0.0212766,7.49675,0.400173,0.979693,131,0.929078,103.362,1.26739,0.00494807,0,0,3.14342,0,0.956865
BRCA1,30,1352,1398,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,1,0.00724638,7.33725,0.136291,0.999349,132,0.956522,101.163,1.30483,0.00188056,0,0,3.07653,0,0.953881
BRCA1,31,1399,1444,141,5,0.035461,7.23875,0.690727,0.847696,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,5,0.035461,6.90069,0.724565,0.817754,5,0.035461,6.64566,0.752371,0.792163,2,0.0141844,7.49675,0.266782,0.995285,136,0.964539,103.362,1.31576,0.00121829,0,0,3.14342,0,0.956865
BRCA1,32,1445,1491,141,5,0.035461,7.23875,0.690727,0.847696,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,5,0.035461,6.90069,0.724565,0.817754,5,0.035461,6.64566,0.752371,0.792163,0,0,7.49675,0,0.999445,136,0.964539,103.362,1.31576,0.00121829,0,0,3.14342,0,0.956865
BRCA1,33,1492,1537,138,8,0.057971,7.08474,1.12919,0.41391,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,8,0.057971,6.75386,1.18451,0.364665,8,0.057971,6.50426,1.22996,0.327865,4,0.0289855,7.33725,0.545164,0.934207,130,0.942029,101.163,1.28506,0.00331307,0,0,3.07653,0,0.953881
BRCA1,34,1538,1584,141,6,0.0425532,7.23875,0.828872,0.72874,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,6,0.0425532,6.90069,0.869479,0.686428,6,0.0425532,6.64566,0.902845,0.651773,1,0.0070922,7.49675,0.133391,0.999445,135,0.957447,103.362,1.30609,0.00163454,0,0,3.14342,0,0.956865
BRCA1,35,1585,1631,138,7,0.0507246,7.08474,0.988039,0.562837,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,7,0.0507246,6.75386,1.03644,0.513009,7,0.0507246,6.50426,1.07622,0.474147,1,0.00724638,7.33725,0.136291,0.999349,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,36,1632,1677,141,3,0.0212766,7.23875,0.414436,0.975266,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,3,0.0212766,6.90069,0.434739,0.968065,3,0.0212766,6.64566,0.451423,0.961364,0,0,7.49675,0,0.999445,138,0.978723,103.362,1.33511,0.000663253,0,0,3.14342,0,0.956865
BRCA1,37,1678,1724,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,38,1725,1770,138,5,0.0362319,7.08474,0.705742,0.834599,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,5,0.0362319,6.75386,0.740317,0.803348,5,0.0362319,6.50426,0.768727,0.776804,0,0,7.33725,0,0.999349,133,0.963768,101.163,1.31471,0.00140218,0,0,3.07653,0,0.953881
BRCA1,39,1771,1817,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,40,1818,1864,138,3,0.0217391,7.08474,0.423445,0.972201,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,3,0.0217391,6.75386,0.44419,0.964355,3,0.0217391,6.50426,0.461236,0.957099,0,0,7.33725,0,0.999349,135,0.978261,101.163,1.33448,0.000763611,0,0,3.07653,0,0.953881
BRCA1,41,1865,1910,141,3,0.0212766,7.23875,0.414436,0.975266,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,3,0.0212766,6.90069,0.434739,0.968065,3,0.0212766,6.64566,0.451423,0.961364,3,0.0212766,7.49675,0.400173,0.979693,138,0.978723,103.362,1.33511,0.000663253,0,0,3.14342,0,0.956865
BRCA1,42,1911,1957,141,9,0.0638298,7.23875,1.24331,0.302525,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,2,0.0141844,7.49675,0.266782,0.995285,132,0.93617,103.362,1.27706,0.0037899,0,0,3.14342,0,0.956865
BRCA1,43,1958,2003,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,2,0.0144928,7.33725,0.272582,0.994574,132,0.956522,101.163,1.30483,0.00188056,0,0,3.07653,0,0.953881
BRCA1,44,2004,2050,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,45,2051,2097,138,5,0.0362319,7.08474,0.705742,0.834599,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,5,0.0362319,6.75386,0.740317,0.803348,5,0.0362319,6.50426,0.768727,0.776804,1,0.00724638,7.33725,0.136291,0.999349,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,46,2098,2143,141,7,0.0496454,7.23875,0.967017,0.585224,1,0.0070922,24.1806,0.0413555,1,1,0.0070922,3.57341,0.279845,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,2,0.0141844,7.49675,0.266782,0.995285,133,0.943262,103.362,1.28674,0.002883,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,47,2144,2190,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,48,2191,2236,138,6,0.0434783,7.08474,0.846891,0.709983,1,0.00724638,23.6661,0.0422545,1,1,0.00724638,3.49738,0.285928,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,1,0.00724638,7.33725,0.136291,0.999349,131,0.949275,101.163,1.29494,0.00250476,1,0.00724638,3.07653,0.325041,0.953881
BRCA1,49,2237,2283,141,9,0.0638298,7.23875,1.24331,0.302525,1,0.0070922,24.1806,0.0413555,1,1,0.0070922,3.57341,0.279845,0.97194,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,3,0.0212766,7.49675,0.400173,0.979693,131,0.929078,103.362,1.26739,0.00494807,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,50,2284,2330,138,4,0.0289855,7.08474,0.564594,0.922546,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,4,0.0289855,6.75386,0.592254,0.904467,4,0.0289855,6.50426,0.614982,0.888443,0,0,7.33725,0,0.999349,133,0.963768,101.163,1.31471,0.00140218,0,0,3.07653,0,0.953881
BRCA1,51,2331,2376,141,9,0.0638298,7.23875,1.24331,0.302525,1,0.0070922,24.1806,0.0413555,1,1,0.0070922,3.57341,0.279845,0.97194,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,2,0.0141844,7.49675,0.266782,0.995285,131,0.929078,103.362,1.26739,0.00494807,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,52,2377,2423,141,6,0.0425532,7.23875,0.828872,0.72874,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,6,0.0425532,6.90069,0.869479,0.686428,6,0.0425532,6.64566,0.902845,0.651773,1,0.0070922,7.49675,0.133391,0.999445,135,0.957447,103.362,1.30609,0.00163454,0,0,3.14342,0,0.956865
BRCA1,53,2424,2469,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,2,0.0144928,7.33725,0.272582,0.994574,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,54,2470,2516,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,1,0.0070922,7.49675,0.133391,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,55,2517,2563,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,5,0.0362319,7.33725,0.681455,0.855612,132,0.956522,101.163,1.30483,0.00188056,0,0,3.07653,0,0.953881
BRCA1,56,2564,2609,141,11,0.0780142,7.23875,1.5196,0.116331,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,11,0.0780142,6.90069,1.59404,0.0916215,11,0.0780142,6.64566,1.65522,0.075283,2,0.0141844,7.49675,0.266782,0.995285,130,0.921986,103.362,1.25772,0.00641592,0,0,3.14342,0,0.956865
BRCA1,57,2610,2656,141,7,0.0496454,7.23875,0.967017,0.585224,1,0.0070922,24.1806,0.0413555,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,2,0.0141844,7.49675,0.266782,0.995285,132,0.93617,103.362,1.27706,0.0037899,0,0,3.14342,0,0.956865
BRCA1,58,2657,2702,138,6,0.0434783,7.08474,0.846891,0.709983,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,3,0.0217391,7.33725,0.408873,0.977055,132,0.956522,101.163,1.30483,0.00188056,0,0,3.07653,0,0.953881
BRCA1,59,2703,2749,141,11,0.0780142,7.23875,1.5196,0.116331,2,0.0141844,24.1806,0.082711,1,1,0.0070922,3.57341,0.279845,0.97194,11,0.0780142,6.90069,1.59404,0.0916215,11,0.0780142,6.64566,1.65522,0.075283,1,0.0070922,7.49675,0.133391,0.999445,127,0.900709,103.362,1.22869,0.0134194,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,60,2750,2796,138,2,0.0144928,7.08474,0.282297,0.993227,1,0.00724638,23.6661,0.0422545,1,1,0.00724638,3.49738,0.285928,0.969723,2,0.0144928,6.75386,0.296127,0.990956,2,0.0144928,6.50426,0.307491,0.988766,2,0.0144928,7.33725,0.272582,0.994574,135,0.978261,101.163,1.33448,0.000763611,1,0.00724638,3.07653,0.325041,0.953881
BRCA1,61,2797,2842,141,7,0.0496454,7.23875,0.967017,0.585224,1,0.0070922,24.1806,0.0413555,1,1,0.0070922,3.57341,0.279845,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,2,0.0141844,7.49675,0.266782,0.995285,133,0.943262,103.362,1.28674,0.002883,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,62,2843,2889,141,7,0.0496454,7.23875,0.967017,0.585224,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,0,0,7.49675,0,0.999445,134,0.950355,103.362,1.29641,0.00217819,0,0,3.14342,0,0.956865
BRCA1,63,2890,2935,138,7,0.0507246,7.08474,0.988039,0.562837,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,7,0.0507246,6.75386,1.03644,0.513009,7,0.0507246,6.50426,1.07622,0.474147,1,0.00724638,7.33725,0.136291,0.999349,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,64,2936,2982,141,7,0.0496454,7.23875,0.967017,0.585224,1,0.0070922,24.1806,0.0413555,1,1,0.0070922,3.57341,0.279845,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,2,0.0141844,7.49675,0.266782,0.995285,133,0.943262,103.362,1.28674,0.002883,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,65,2983,3029,138,9,0.0652174,7.08474,1.27034,0.282022,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,9,0.0652174,6.75386,1.33257,0.239428,9,0.0652174,6.50426,1.38371,0.208933,3,0.0217391,7.33725,0.408873,0.977055,128,0.927536,101.163,1.26529,0.00567634,0,0,3.07653,0,0.953881
BRCA1,66,3030,3075,141,5,0.035461,7.23875,0.690727,0.847696,1,0.0070922,24.1806,0.0413555,1,0,0,3.57341,0,0.97194,5,0.035461,6.90069,0.724565,0.817754,5,0.035461,6.64566,0.752371,0.792163,1,0.0070922,7.49675,0.133391,0.999445,135,0.957447,103.362,1.30609,0.00163454,0,0,3.14342,0,0.956865
BRCA1,67,3076,3122,141,6,0.0425532,7.23875,0.828872,0.72874,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,6,0.0425532,6.90069,0.869479,0.686428,6,0.0425532,6.64566,0.902845,0.651773,3,0.0212766,7.49675,0.400173,0.979693,132,0.93617,103.362,1.27706,0.0037899,0,0,3.14342,0,0.956865
BRCA1,68,3123,3168,138,2,0.0144928,7.08474,0.282297,0.993227,1,0.00724638,23.6661,0.0422545,1,0,0,3.49738,0,0.969723,2,0.0144928,6.75386,0.296127,0.990956,2,0.0144928,6.50426,0.307491,0.988766,0,0,7.33725,0,0.999349,135,0.978261,101.163,1.33448,0.000763611,0,0,3.07653,0,0.953881
BRCA1,69,3169,3215,141,4,0.0283688,7.23875,0.552581,0.929863,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,4,0.0283688,6.90069,0.579652,0.912908,4,0.0283688,6.64566,0.601897,0.897788,2,0.0141844,7.49675,0.266782,0.995285,137,0.971631,103.362,1.32544,0.000901933,0,0,3.14342,0,0.956865
BRCA1,70,3216,3262,138,7,0.0507246,7.08474,0.988039,0.562837,0,0,23.6661,0,1,0,0,3.49738,0,0.969723,7,0.0507246,6.75386,1.03644,0.513009,7,0.0507246,6.50426,1.07622,0.474147,1,0.00724638,7.33725,0.136291,0.999349,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,71,3263,3308,141,9,0.0638298,7.23875,1.24331,0.302525,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,3,0.0212766,7.49675,0.400173,0.979693,132,0.93617,103.362,1.27706,0.0037899,0,0,3.14342,0,0.956865
BRCA1,72,3309,3355,141,11,0.0780142,7.23875,1.5196,0.116331,0,0,24.1806,0,1,0,0,3.57341,0,0.97194,11,0.0780142,6.90069,1.59404,0.0916215,11,0.0780142,6.64566,1.65522,0.075283,0,0,7.49675,0,0.999445,130,0.921986,103.362,1.25772,0.00641592,0,0,3.14342,0,0.956865
BRCA1,73,3356,3401,138,7,0.0507246,7.08474,0.988039,0.562837,16,0.115942,23.6661,0.676073,0.960418,7,0.0507246,3.49738,2.0015,0.0650864,7,0.0507246,6.75386,1.03644,0.513009,7,0.0507246,6.50426,1.07622,0.474147,0,0,7.33725,0,0.999349,115,0.833333,101.163,1.13678,0.0943178,6,0.0434783,3.07653,1.95025,0.09183
