bottleneck_category,gene,cds_exon,count,high_priority_count,near_pathogenic_dense_count,max_spliceai,top_deep_bucket
PM2_only,BRCA2,21,391,0,387,0.17,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,15,352,0,320,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,14,313,0,177,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,16,293,0,226,0.18,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,19,282,0,282,0.18,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,18,275,0,210,0.18,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,22,255,0,255,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,23,232,0,102,0.19,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA2,17,223,0,120,0.04,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA2,20,220,0,214,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,11,171,0,168,0.16,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA2,24,135,0,88,0.07,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA1,9,129,0,115,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,25,125,0,11,0.17,PM2_only_low_information_background
PM2_only,BRCA2,26,116,0,50,0.31,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA2,14,99,0,42,0.10,BP4_BP7_PM2_low_splice_benign_prediction
mixed_splice_benign_and_pathogenic,BRCA2,16,98,0,75,0.10,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA2,21,98,0,98,0.07,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA2,2,98,0,98,0.19,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA2,18,92,0,66,0.10,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA2,1,90,0,35,0.13,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA2,20,79,0,78,0.04,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA2,15,77,0,69,0.10,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA2,22,72,0,72,0.10,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA2,6,69,0,22,0.19,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA2,23,67,0,25,0.10,BP4_BP7_PM2_low_splice_benign_prediction
mixed_splice_benign_and_pathogenic,BRCA2,19,66,0,66,0.04,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA1,8,55,0,0,0.68,PM2_only_low_information_background
PM2_only,BRCA1,12,44,0,33,0.18,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA1,11,42,0,42,0.07,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA1,13,39,0,39,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,22,39,0,23,0.03,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA2,2,32,0,32,0.06,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA2,25,30,0,4,0.07,BP4_BP7_PM2_low_splice_benign_prediction
PM2_only,BRCA1,4,28,0,28,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,18,26,0,26,0.10,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,15,25,0,25,0.18,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,11,24,0,24,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,10,23,0,23,0.12,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,19,23,0,23,0.12,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,1,20,0,17,0.18,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA2,1,18,0,11,0.05,BP4_BP7_PM2_near_pathogenic_density
strong_pathogenic_combo_one_step_short,BRCA1,21,18,0,8,0.18,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA2,10,16,0,16,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,21,16,0,7,0.16,PM2_only_low_information_background
PM2_only,BRCA1,2,15,0,15,0.04,PM2_only_pathogenic_neighborhood
strong_pathogenic_combo_one_step_short,BRCA1,14,14,0,3,0.11,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA1,3,14,0,14,0.18,PM2_only_pathogenic_neighborhood
strong_pathogenic_combo_one_step_short,BRCA2,18,13,0,8,0.09,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA1,14,12,0,8,0.17,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,16,12,0,12,0.16,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA1,22,11,0,7,0.03,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA1,7,11,0,1,0.54,PM2_only_low_information_background
PM2_only,BRCA2,3,11,0,9,0.19,PM2_only_pathogenic_neighborhood
strong_pathogenic_combo_one_step_short,BRCA2,24,9,0,8,0.00,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA2,8,9,0,0,0.19,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA1,10,8,0,8,0.01,BP4_BP7_PM2_near_pathogenic_density
PM2_only,BRCA2,9,8,0,5,0.16,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,5,8,0,7,0.15,PM2_only_pathogenic_neighborhood
PM2_only,BRCA1,17,8,0,8,0.04,PM2_only_pathogenic_neighborhood
strong_pathogenic_combo_one_step_short,BRCA2,15,7,0,7,0.16,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA2,13,7,0,4,0.19,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,7,7,0,0,0.15,PM2_only_low_information_background
PM2_only,BRCA1,20,7,0,7,0.01,PM2_only_pathogenic_neighborhood
mixed_splice_benign_and_pathogenic,BRCA1,16,4,0,4,0.09,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,19,4,0,4,0.01,BP4_BP7_PM2_near_pathogenic_density
strong_pathogenic_combo_one_step_short,BRCA2,14,4,0,2,0.17,PS3_PM2_needs_one_more_pathogenic_support
mixed_splice_benign_and_pathogenic,BRCA1,2,3,0,3,0.02,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,14,3,0,3,0.02,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,18,3,0,3,0.00,BP4_BP7_PM2_near_pathogenic_density
strong_pathogenic_combo_one_step_short,BRCA2,22,3,0,3,0.13,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,2,3,0,3,0.04,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA2,4,3,0,1,0.17,PM2_only_low_information_background
mixed_splice_benign_and_pathogenic,BRCA1,3,2,0,2,0.05,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,21,2,0,0,0.04,BP4_BP7_PM2_low_splice_benign_prediction
mixed_splice_benign_and_pathogenic,BRCA1,1,2,0,2,0.02,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,17,2,0,2,0.01,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,20,2,0,2,0.00,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,4,1,0,1,0.10,BP4_BP7_PM2_near_pathogenic_density
mixed_splice_benign_and_pathogenic,BRCA1,15,1,0,1,0.02,BP4_BP7_PM2_near_pathogenic_density
strong_pathogenic_combo_one_step_short,BRCA2,19,1,0,1,0.04,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,21,1,0,1,0.01,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,25,1,0,0,0.00,PS3_PM2_needs_one_more_pathogenic_support
PM2_only,BRCA2,5,1,0,1,0.12,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,12,1,0,0,0.12,PM2_only_low_information_background
