gene,group,label,spliceai_bin,boundary_distance_bin,count,group_total,percent_within_group
BRCA1,vus,VUS,0.80-1.00,>250,2,1625,0.12
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,0,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,1-2,10,877,1.14
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,3-5,6,877,0.68
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,6-10,15,877,1.71
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,11-20,37,877,4.22
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,21-50,58,877,6.61
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,51-100,46,877,5.25
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,101-250,37,877,4.22
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0-0.049,>250,405,877,46.18
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,0,2,877,0.23
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,1-2,2,877,0.23
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,3-5,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,6-10,9,877,1.03
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,11-20,11,877,1.25
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,21-50,24,877,2.74
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,51-100,8,877,0.91
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,101-250,6,877,0.68
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.05-0.099,>250,11,877,1.25
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,0,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,1-2,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,3-5,4,877,0.46
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,6-10,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,11-20,10,877,1.14
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,21-50,17,877,1.94
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,51-100,5,877,0.57
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,101-250,12,877,1.37
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.10-0.199,>250,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,0,6,877,0.68
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,1-2,8,877,0.91
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,3-5,5,877,0.57
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,6-10,7,877,0.80
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,11-20,15,877,1.71
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,21-50,36,877,4.10
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,51-100,2,877,0.23
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,101-250,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.20-0.499,>250,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,0,12,877,1.37
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,1-2,7,877,0.80
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,3-5,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,6-10,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,11-20,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,21-50,9,877,1.03
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,51-100,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,101-250,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.50-0.799,>250,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,0,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,1-2,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,3-5,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,6-10,1,877,0.11
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,11-20,4,877,0.46
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,21-50,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,51-100,0,877,0.00
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,101-250,3,877,0.34
BRCA1,pathogenic,Likely Pathogenic/Pathogenic,0.80-1.00,>250,0,877,0.00
