gene,cds_exon,action_group,count,high_priority_count,high_spliceai_count,median_points,top_candidate_evidence
BRCA1,18,near_pathogenic_threshold,42,2,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,8,computational_signal_needs_noncomputational_support,42,42,42,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,13,background_absence_only,39,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,22,background_absence_only,39,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,14,computational_signal_needs_noncomputational_support,36,22,36,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,1,near_pathogenic_threshold,34,5,1,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,22,near_pathogenic_threshold,33,1,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,2,near_pathogenic_threshold,32,5,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,2,conflicting_computational_splice_context,32,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,25,conflicting_computational_splice_context,30,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,6,computational_signal_needs_noncomputational_support,29,29,29,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,4,background_absence_only,28,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,16,near_pathogenic_threshold,28,2,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,21,module1_no_signal,28,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,18,background_absence_only,27,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,24,module1_no_signal,27,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,15,background_absence_only,25,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,17,near_pathogenic_threshold,25,1,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,13,computational_signal_needs_noncomputational_support,24,24,24,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,4,near_pathogenic_threshold,24,1,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,11,background_absence_only,24,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,15,module1_no_signal,24,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,18,computational_signal_needs_noncomputational_support,24,16,24,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,10,background_absence_only,23,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,15,near_pathogenic_threshold,23,1,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,19,background_absence_only,23,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,16,computational_signal_needs_noncomputational_support,21,19,21,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,16,module1_no_signal,21,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,1,background_absence_only,20,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,20,near_pathogenic_threshold,19,1,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,13,computational_signal_needs_noncomputational_support,19,19,19,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,14,module1_no_signal,19,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,19,module1_no_signal,19,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,21,near_pathogenic_threshold,18,0,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,3,near_pathogenic_threshold,18,2,1,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,1,conflicting_computational_splice_context,18,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,10,computational_signal_needs_noncomputational_support,18,18,18,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,9,computational_signal_needs_noncomputational_support,18,18,18,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,19,near_pathogenic_threshold,17,3,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,22,near_benign_threshold,17,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,15,near_benign_threshold,16,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,21,background_absence_only,16,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,4,computational_signal_needs_noncomputational_support,16,16,16,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,6,computational_signal_needs_noncomputational_support,16,16,16,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,10,background_absence_only,16,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,22,module1_no_signal,16,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,2,background_absence_only,15,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,20,near_benign_threshold,15,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,20,computational_signal_needs_noncomputational_support,15,15,15,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,20,module1_no_signal,15,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,14,near_pathogenic_threshold,14,0,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,3,background_absence_only,14,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,18,near_pathogenic_threshold,13,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,1,near_benign_threshold,12,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,11,computational_signal_needs_noncomputational_support,12,12,12,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,14,background_absence_only,12,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,16,background_absence_only,12,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,11,computational_signal_needs_noncomputational_support,12,12,12,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,21,computational_signal_needs_noncomputational_support,12,12,12,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,23,module1_no_signal,12,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,4,computational_signal_needs_noncomputational_support,12,12,12,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,22,conflicting_computational_splice_context,11,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,7,background_absence_only,11,0,1,1,any independent variant-level evidence; otherwise low priority
BRCA2,18,module1_no_signal,11,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,2,computational_signal_needs_noncomputational_support,11,11,11,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,3,background_absence_only,11,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,8,computational_signal_needs_noncomputational_support,11,11,11,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,15,computational_signal_needs_noncomputational_support,10,10,10,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,19,near_benign_threshold,10,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,7,computational_signal_needs_noncomputational_support,10,10,10,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,9,module1_no_signal,10,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,17,computational_signal_needs_noncomputational_support,10,9,10,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,24,near_benign_threshold,10,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,3,computational_signal_needs_noncomputational_support,10,10,10,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,7,computational_signal_needs_noncomputational_support,10,10,10,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,16,near_benign_threshold,9,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,24,near_pathogenic_threshold,9,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,5,computational_signal_needs_noncomputational_support,9,9,9,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,8,background_absence_only,9,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,10,conflicting_computational_splice_context,8,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,11,module1_no_signal,8,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,17,background_absence_only,8,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,17,near_pathogenic_threshold,8,4,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,18,near_benign_threshold,8,1,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,3,near_benign_threshold,8,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,5,background_absence_only,8,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,1,computational_signal_needs_noncomputational_support,8,8,8,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,14,near_benign_threshold,8,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,18,near_benign_threshold,8,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,23,near_pathogenic_threshold,8,1,1,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,9,background_absence_only,8,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,10,computational_signal_needs_noncomputational_support,7,7,7,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,2,near_benign_threshold,7,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,20,background_absence_only,7,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,4,near_benign_threshold,7,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,13,background_absence_only,7,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,15,near_pathogenic_threshold,7,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,17,near_benign_threshold,7,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,2,module1_no_signal,7,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,26,module1_no_signal,7,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,7,background_absence_only,7,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA1,15,module1_no_signal,6,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,21,near_benign_threshold,6,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,19,computational_signal_needs_noncomputational_support,6,6,6,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,22,near_benign_threshold,6,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,23,near_benign_threshold,6,0,0,-3.0,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
BRCA2,25,computational_signal_needs_noncomputational_support,6,4,6,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,14,near_benign_threshold,5,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,22,module1_no_signal,5,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,1,module1_no_signal,5,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,25,module1_no_signal,5,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,14,computational_signal_needs_noncomputational_support,4,4,4,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,16,conflicting_computational_splice_context,4,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,19,conflicting_computational_splice_context,4,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,14,near_pathogenic_threshold,4,0,0,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,15,near_benign_threshold,4,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,20,near_benign_threshold,4,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,10,module1_no_signal,3,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,12,module1_no_signal,3,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,13,module1_no_signal,3,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,14,conflicting_computational_splice_context,3,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,16,module1_no_signal,3,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,17,near_benign_threshold,3,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,18,conflicting_computational_splice_context,3,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,2,conflicting_computational_splice_context,3,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,5,computational_signal_needs_noncomputational_support,3,3,3,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,12,computational_signal_needs_noncomputational_support,3,3,3,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,14,manual_conflict_adjudication,3,1,2,-1,manual review of mixed benign and pathogenic evidence
BRCA2,19,near_benign_threshold,3,0,0,-4,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
BRCA2,2,near_pathogenic_threshold,3,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,21,near_benign_threshold,3,0,0,-2,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
BRCA2,22,near_pathogenic_threshold,3,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,24,computational_signal_needs_noncomputational_support,3,2,3,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,24,manual_conflict_adjudication,3,0,0,-1,manual review of mixed benign and pathogenic evidence
BRCA2,4,background_absence_only,3,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,6,module1_no_signal,3,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,1,conflicting_computational_splice_context,2,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,1,module1_no_signal,2,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,17,conflicting_computational_splice_context,2,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,19,computational_signal_needs_noncomputational_support,2,2,2,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,20,conflicting_computational_splice_context,2,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,20,module1_no_signal,2,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,21,conflicting_computational_splice_context,2,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,3,conflicting_computational_splice_context,2,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,9,near_benign_threshold,2,0,0,-4.0,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
BRCA2,1,near_benign_threshold,2,0,0,-6.0,"BS2, BS4, population evidence, or ClinGen/ENIGMA assertion context"
BRCA2,10,module1_no_signal,2,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,16,near_benign_threshold,2,0,0,-4.0,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,17,manual_conflict_adjudication,2,0,0,-1.0,manual review of mixed benign and pathogenic evidence
BRCA2,22,manual_conflict_adjudication,2,1,1,-0.5,manual review of mixed benign and pathogenic evidence
BRCA2,3,module1_no_signal,2,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,1,computational_signal_needs_noncomputational_support,1,1,1,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,10,manual_conflict_adjudication,1,1,1,0,manual review of mixed benign and pathogenic evidence
BRCA1,14,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,15,conflicting_computational_splice_context,1,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,15,manual_conflict_adjudication,1,1,1,2,manual review of mixed benign and pathogenic evidence
BRCA1,16,computational_signal_needs_noncomputational_support,1,1,1,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,17,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,19,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,2,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,20,computational_signal_needs_noncomputational_support,1,1,1,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,20,manual_conflict_adjudication,1,0,0,1,manual review of mixed benign and pathogenic evidence
BRCA1,21,manual_conflict_adjudication,1,1,1,4,manual review of mixed benign and pathogenic evidence
BRCA1,21,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA1,3,computational_signal_needs_noncomputational_support,1,1,1,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,4,conflicting_computational_splice_context,1,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,5,near_benign_threshold,1,1,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA1,8,module1_no_signal,1,0,1,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,11,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,12,background_absence_only,1,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,12,near_pathogenic_threshold,1,1,0,4,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,15,manual_conflict_adjudication,1,0,0,0,manual review of mixed benign and pathogenic evidence
BRCA2,18,manual_conflict_adjudication,1,1,1,0,manual review of mixed benign and pathogenic evidence
BRCA2,19,manual_conflict_adjudication,1,0,0,-1,manual review of mixed benign and pathogenic evidence
BRCA2,19,near_pathogenic_threshold,1,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,20,manual_conflict_adjudication,1,0,0,-1,manual review of mixed benign and pathogenic evidence
BRCA2,21,near_pathogenic_threshold,1,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,25,near_benign_threshold,1,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,25,near_pathogenic_threshold,1,0,0,5,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA2,26,manual_conflict_adjudication,1,0,0,5,"functional assay metadata, NMD/splicing review, ClinGen/ENIGMA assertion context"
BRCA2,5,background_absence_only,1,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,6,near_benign_threshold,1,0,0,-4,"BS2, BS4, population evidence, or curated functional strength review"
BRCA2,7,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,9,manual_conflict_adjudication,1,1,1,0,manual review of mixed benign and pathogenic evidence
BRCA2,9,module1_no_signal,1,0,0,0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
